Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.5215 	1.989 	282.0857 	0.9296 	232.4592 	1.6687
2 	0.7031 	1.8965 	195.3591 	1.1849 	169.9541 	1.4702
3 	0.7916 	4.4428 	329.0898 	1.3329 	295.1744 	1.34
4 	0.9083 	0.9639 	134.6695 	1.4373 	135.0026 	0.9933
5 	0.6497 	0.9898 	140.0379 	1.1059 	131.9597 	1.1626
6 	0.5684 	0.8608 	133.0013 	1.0024 	127.1601 	1.1129
7 	1.2249 	2.4716 	254.2642 	1.7726 	231.8542 	1.3991
8 	0.8798 	1.5863 	212.9348 	1.3854 	205.4388 	1.1067
9 	0.4046 	2.2435 	231.9726 	0.7714 	213.1853 	1.2053
10 	0.605 	1.0612 	148.6336 	1.0299 	141.2509 	1.1369
11 	0.3234 	6.096 	426.3107 	0.5705 	323.2653 	2.262
12 	1.5413 	1.2092 	171.4976 	2.217 	178.4334 	0.8828
13 	0.6678 	1.5263 	156.1458 	1.127 	147.1091 	1.1655
14 	0.5715 	3.9347 	214.7412 	0.9921 	203.5085 	1.1408
15 	0.4846 	2.4259 	227.7911 	0.8657 	207.6815 	1.2508
16 	1.5017 	3.7672 	294.8847 	2.4255 	256.5333 	1.5186
17 	0.5359 	1.1395 	161.8603 	0.9439 	144.7989 	1.3225
18 	0.681 	0.9742 	162.8494 	1.1029 	154.0213 	1.1651
19 	0.6291 	1.7335 	196.3118 	1.0666 	211.5973 	0.8405
20 	0.9081 	1.8195 	166.8821 	1.4246 	170.1668 	0.9485
21 	0.4186 	1.9557 	217.8235 	0.6982 	199.3803 	1.2681
22 	0.377 	2.833 	204.576 	0.6829 	173.3421 	1.5169
23 	0.4052 	1.5463 	194.6845 	0.6364 	183.0136 	1.1976
24 	1.0269 	1.1301 	181.2625 	1.5728 	165.2382 	1.3417
25 	0.7373 	1.5386 	201.3201 	1.2011 	184.2975 	1.2804
26 	0.7881 	1.1535 	173.4669 	1.2453 	158.3517 	1.3112
27 	0.8349 	3.3082 	267.3462 	1.3322 	240.0101 	1.3772
28 	0.548 	1.0701 	129.9279 	0.9145 	132.7991 	0.9477
29 	0.6911 	4.2851 	286.2539 	1.1082 	244.2324 	1.6394
30 	0.3519 	1.9975 	186.0447 	0.6122 	170.4828 	1.2449
31 	0.7219 	4.1019 	335.9773 	1.1418 	324.1181 	1.1062
32 	0.5193 	1.8705 	165.6891 	0.935 	153.5386 	1.1975
33 	0.9211 	2.4837 	252.7834 	1.4571 	241.8934 	1.1326
34 	0.503 	1.623 	149.11 	0.8951 	142.9142 	1.1048
35 	0.6006 	1.6249 	164.4305 	1.0161 	167.0467 	0.9625
36 	1.5727 	1.2073 	172.3718 	2.2789 	164.2741 	1.1787
37 	1.0194 	4.1743 	327.451 	1.4095 	317.9079 	1.1177
38 	0.801 	2.3154 	365.5741 	1.3132 	311.0469 	1.6193
39 	1.6745 	4.324 	558.0311 	2.471 	470.0792 	1.9567
40 	0.6519 	3.8197 	259.3467 	1.2236 	204.7879 	1.819
41 	0.5982 	2.9144 	313.1866 	0.9816 	277.1674 	1.4174
42 	0.3592 	2.3837 	188.9429 	0.6931 	167.4112 	1.3098
43 	0.5541 	1.8676 	287.0664 	1.0281 	220.2466 	2.0199
44 	0.6824 	2.0273 	310.3228 	1.1793 	260.1031 	1.6236
45 	0.6011 	3.6211 	323.9087 	0.9804 	295.5818 	1.2921
46 	0.6277 	2.2404 	389.1604 	1.1013 	294.6353 	2.2978
47 	0.8216 	7.509 	443.8584 	1.3308 	381.3142 	1.5829
48 	0.3405 	4.5373 	263.8827 	0.6777 	208.4861 	1.7298
49 	0.6212 	1.8278 	179.906 	1.07 	168.5075 	1.1779
50 	0.6209 	1.8233 	172.6047 	1.071 	178.9506 	0.9196
51 	0.5286 	1.8836 	184.4801 	0.9302 	179.1365 	1.0719
52 	0.6776 	1.2921 	173.3026 	1.0311 	169.8516 	1.0617
53 	1.0447 	1.7783 	162.6487 	1.5894 	165.2916 	0.9547
54 	1.0175 	1.3847 	156.0728 	1.5549 	156.7061 	0.9884
55 	0.7615 	1.1707 	174.4052 	1.1861 	167.8432 	1.1175
56 	0.7389 	1.3451 	140.8076 	1.2653 	134.3332 	1.1243
57 	0.9759 	1.1309 	154.5296 	1.4244 	152.1093 	1.0523
58 	0.7553 	2.3968 	244.521 	1.2137 	233.9846 	1.1288
59 	0.5712 	1.6983 	240.3665 	0.9965 	201.908 	1.5996
60 	0.7369 	1.005 	134.2054 	1.1691 	135.7104 	0.9706
61 	0.6336 	1.3566 	151.5407 	1.1223 	141.7653 	1.1739
62 	0.5894 	1.0114 	149.4251 	0.9735 	141.8277 	1.1479
63 	0.5827 	1.3786 	193.2566 	1.0161 	169.538 	1.404
