Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	1.0724 	1.8613 	378.6471 	1.6195 	326.0834 	1.6976
2 	0.5907 	98.6367 	568.0481 	1.0216 	477.1064 	1.6118
3 	0.531 	0.9076 	582.6633 	0.9694 	393.7023 	3.5356
4 	0.6808 	18.8792 	161.0155 	1.1213 	153.7169 	1.1304
5 	0.5777 	28.4887 	244.9391 	0.9922 	204.1764 	1.6621
6 	1.0701 	0.9169 	280.0924 	1.6278 	237.2148 	1.8077
7 	0.8364 	1.1016 	432.0602 	1.3177 	348.9998 	2.111
8 	0.4328 	11.6703 	360.4921 	0.7911 	290.0865 	1.7582
9 	0.5404 	61.6536 	534.8574 	0.9449 	400.0109 	2.4325
10 	0.5145 	3.4652 	371.0555 	0.9269 	271.4189 	2.5228
11 	0.6477 	3.3289 	341.0625 	1.102 	280.7838 	1.7504
12 	0.5039 	0.7136 	168.8267 	0.9231 	161.4097 	1.1071
13 	1.1104 	20.2322 	444.8112 	1.6724 	362.631 	2.2209
14 	1.2854 	0.7453 	400.0269 	1.9082 	332.7192 	2.064
15 	0.6472 	41.1826 	352.512 	1.1134 	331.3681 	1.1672
16 	0.6573 	5.0743 	328.0253 	1.1304 	269.4928 	1.7433
17 	0.5702 	23.7102 	322.9414 	0.9934 	276.2427 	1.5139
18 	0.7919 	2.7673 	423.9644 	1.3197 	313.9278 	2.8487
19 	0.7531 	1.0854 	345.5514 	1.2223 	287.6654 	1.7744
20 	0.8244 	7.0487 	766.4505 	1.3371 	568.041 	3.0782
21 	1.1253 	1.4025 	826.2074 	1.6939 	651.7018 	2.6972
22 	0.8794 	2.2658 	497.2568 	1.3483 	452.609 	1.3481
23 	0.7105 	11.4656 	778.7818 	1.1576 	574.2905 	3.124
24 	0.7306 	2.7267 	633.1133 	1.2025 	486.9927 	2.4278
25 	0.5269 	94.1487 	268.4419 	0.9219 	219.0665 	1.7523
26 	0.8794 	3.9964 	500.9999 	1.2766 	451.9496 	1.4592
27 	0.8417 	10.6818 	426.9937 	1.3805 	385.7762 	1.3286
28 	0.4285 	3.1666 	475.4556 	0.7553 	429.2735 	1.2895
29 	0.6984 	15.5695 	413.7972 	1.1714 	361.4241 	1.4564
