Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.6465 	5.0008 	3242.567 	1.0929 	2198.7014 	4.7202
2 	0.6544 	5.003 	4072.3837 	1.0993 	2896.8048 	3.488
3 	0.402 	3.8078 	3147.4148 	0.7861 	2339.2847 	2.1074
4 	0.867 	5.5487 	3156.9433 	1.3885 	2560.3653 	2.0126
5 	0.6961 	3.2901 	2138.074 	1.1574 	1672.6044 	2.2034
6 	0.8843 	8.8704 	3706.6613 	1.3936 	2950.373 	2.2643
7 	0.6848 	6.5525 	2891.7718 	1.1507 	2544.3992 	1.4218
8 	0.7028 	14.8794 	6572.7009 	1.2116 	4906.8443 	2.5224
9 	0.6898 	5.7868 	3111.8311 	1.1135 	2351.2005 	2.796
10 	0.9796 	6.6009 	4093.7926 	1.5864 	3165.172 	2.4573
11 	0.6846 	3.2831 	2097.9767 	1.101 	1681.4837 	2.1046
12 	1.0779 	4.4886 	2275.9366 	1.698 	1915.0245 	1.7675
13 	0.8543 	4.4955 	2674.6441 	1.3748 	2117.5637 	2.2228
14 	0.2423 	0.6319 	115.3811 	0.6058 	114.7435 	1.0093
15 	0.9674 	5.903 	2962.3449 	1.5041 	2632.2882 	1.4541
16 	1.3309 	10.035 	4470.3041 	1.9711 	4300.4166 	1.1325
17 	0.7374 	7.5068 	3458.5511 	1.2609 	2666.8894 	2.229
18 	0.3779 	14.0359 	5369.3724 	0.7275 	4349.8127 	1.6533
19 	0.5852 	0.6729 	118.71 	1.0424 	117.6914 	1.02
20 	0.8681 	1.0835 	157.0782 	1.5486 	165.5796 	0.8903
21 	0.5393 	6.8903 	4130.5755 	0.9364 	2717.078 	5.1784
22 	0.5827 	7.1888 	4522.1516 	1.0181 	3227.1362 	3.0264
23 	0.7054 	5.8746 	3898.0509 	1.1655 	2911.1679 	2.7883
24 	0.778 	6.6089 	3996.9388 	1.2923 	3288.0059 	1.804
25 	1.2438 	8.7211 	5352.4895 	1.8874 	4327.4251 	2.2813
26 	0.6329 	0.7012 	134.1598 	1.1638 	128.7664 	1.0966
27 	1.1186 	5.6481 	3744.5433 	1.7501 	3077.9489 	1.9737
28 	0.6246 	12.9595 	7270.3132 	1.0401 	4979.8463 	4.7285
29 	1.1676 	4.1842 	3109.8625 	1.7514 	2364.3449 	3.5616
30 	1.116 	5.4684 	3178.5771 	1.8069 	2341.3982 	3.2138
31 	0.6977 	6.5435 	4606.8893 	1.1656 	3445.1001 	2.6899
32 	0.6414 	5.9129 	2825.201 	1.0247 	2654.729 	1.1923
33 	0.6439 	3.6254 	1973.7059 	1.0894 	1860.5401 	1.1631
34 	0.9218 	4.7342 	3291.5572 	1.4313 	2625.194 	2.3184
35 	0.9685 	5.4011 	3326.3584 	1.504 	2637.1579 	2.392
36 	0.787 	7.9691 	4666.6237 	1.2014 	3803.5291 	2.1561
37 	0.7936 	5.5134 	2818.0756 	1.3206 	2335.7033 	1.7511
38 	0.6735 	3.5847 	2143.1042 	1.1056 	1858.4894 	1.5147
39 	1.5053 	3.3582 	1584.3206 	2.1433 	1558.2969 	1.0584
40 	0.587 	13.5991 	5036.503 	0.9951 	4158.3043 	1.7397
41 	1.1117 	10.7652 	5424.8114 	1.7079 	4427.9456 	2.1113
42 	0.7001 	5.0076 	2618.4219 	1.1927 	2215.8687 	1.5929
43 	1.2888 	5.4509 	3845.5011 	1.8943 	3084.2017 	2.6273
44 	0.8987 	2.1338 	1374.9052 	1.4908 	1075.6926 	2.2119
45 	0.7922 	6.0468 	3583.6665 	1.2854 	2734.0078 	2.6175
46 	0.8023 	2.9022 	1830.9784 	1.2928 	1558.6517 	1.6448
