Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.9294 	8.5156 	229.6068 	1.4697 	259.6055 	0.7378
2 	1.1752 	4.4991 	615.0989 	1.7653 	504.7658 	2.1581
3 	1.2244 	0.8082 	425.0835 	1.6847 	385.4628 	1.5178
4 	0.9464 	49.5424 	232.842 	1.5502 	232.0014 	1.0094
5 	0.3801 	21.3563 	191.0602 	0.7273 	156.7355 	1.6034
6 	0.7898 	34.8666 	556.2803 	1.2694 	452.0389 	1.9841
7 	0.8666 	24.0716 	243.9186 	1.3549 	273.9029 	0.7457
8 	1.1185 	0.8917 	493.5541 	1.5259 	440.2452 	1.6793
9 	0.8039 	5.8738 	1440.9756 	1.2944 	1024.1445 	4.2271
10 	0.4931 	2.6342 	425.02 	0.9054 	449.0098 	0.8897
11 	1.098 	23.4936 	503.7459 	1.656 	429.6958 	1.7738
12 	0.881 	1.8302 	407.2764 	1.3888 	352.3078 	1.5851
13 	0.5535 	48.543 	420.7283 	0.9872 	467.0317 	0.7997
14 	0.5917 	129.1522 	307.6562 	1.0268 	327.7951 	0.8662
15 	0.6566 	134.5267 	384.7219 	1.1566 	328.7638 	1.507
16 	0.8049 	1.2456 	560.8504 	1.295 	445.0797 	2.1998
17 	0.592 	9.5893 	431.1626 	1.013 	453.9577 	0.8871
18 	0.9957 	1.3023 	435.7365 	1.5193 	438.7634 	0.9802
19 	1.4996 	25.4512 	662.3297 	2.2193 	631.8082 	1.1656
20 	0.568 	8.6829 	852.8124 	0.9909 	824.8633 	1.0832
21 	1.0374 	6.6698 	803.1357 	1.6114 	637.5091 	2.375
22 	0.6263 	70.4667 	430.9757 	1.1578 	370.3827 	1.4415
23 	0.7378 	0.8399 	773.1438 	1.1961 	610.8965 	2.2113
24 	0.8032 	106.1231 	532.6173 	1.261 	537.1219 	0.9772
25 	0.7972 	51.0949 	527.6558 	1.2903 	481.6966 	1.2952
26 	0.7125 	9.4883 	730.3008 	1.1747 	700.8799 	1.1141
27 	0.9718 	0.845 	518.1497 	1.497 	427.0106 	2.0055
28 	0.7965 	4.6283 	690.689 	1.2841 	660.8064 	1.1286
29 	0.8331 	15.9842 	297.6056 	1.3496 	302.5539 	0.9584
30 	0.7737 	0.7729 	716.5056 	1.2381 	554.1068 	2.5267
31 	0.2807 	73.2953 	454.6424 	0.591 	386.4867 	1.3996
32 	1.0567 	0.8959 	349.4682 	1.5928 	322.2493 	1.3011
33 	0.6225 	123.7145 	574.27 	1.0381 	515.416 	1.3441
34 	0.5361 	0.9591 	605.8743 	0.9289 	469.7298 	2.1341
35 	1.4306 	8.3621 	386.8362 	2.0686 	407.5144 	0.8523
36 	0.828 	1.2673 	404.3356 	1.3401 	391.2228 	1.0927
37 	0.8995 	0.9139 	574.3838 	1.4073 	470.4534 	2.0058
38 	0.6673 	0.7699 	523.4911 	1.1098 	413.0007 	2.1248
39 	0.8219 	40.459 	306.0185 	1.3576 	337.4275 	0.7936
40 	0.4503 	153.2978 	675.2694 	0.8285 	601.6652 	1.3137
41 	0.5407 	132.8696 	320.6968 	0.9682 	278.8075 	1.4201
42 	0.5762 	117.6733 	309.7326 	1.0015 	279.9935 	1.2921
43 	0.4903 	83.597 	497.3534 	0.927 	427.3485 	1.4262
44 	1.0412 	1.7385 	373.6346 	1.5881 	323.7551 	1.6331
45 	0.6323 	90.7189 	419.993 	1.0945 	406.9805 	1.0792
46 	0.6181 	7.7116 	526.2788 	1.0586 	443.8677 	1.6033
47 	0.4167 	131.693 	445.5625 	0.7666 	402.3946 	1.2694
48 	1.0207 	5.3965 	985.8021 	1.5524 	930.5133 	1.1958
49 	0.6879 	80.5899 	310.4342 	1.2023 	301.0432 	1.0761
50 	0.6836 	1.0802 	525.3068 	1.148 	457.9268 	1.4643
51 	0.6522 	6.0087 	459.1289 	1.038 	402.9009 	1.4915
52 	0.6549 	33.5827 	422.9208 	1.1042 	469.4625 	0.7871
53 	0.7831 	0.8581 	303.3188 	1.219 	294.4825 	1.0887
54 	0.7126 	24.8313 	328.4494 	1.1725 	336.6421 	0.9402
55 	0.6525 	77.8946 	293.4605 	1.084 	280.8485 	1.121
56 	0.466 	2.7227 	807.2708 	0.7879 	711.7521 	1.4078
57 	0.6049 	1.4757 	550.5103 	1.0199 	549.9084 	1.0027
58 	0.7614 	4.5998 	414.4301 	1.2301 	387.8134 	1.2027
59 	0.4306 	1.6454 	545.5113 	0.754 	519.9634 	1.1226
