Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	1.5308 	3.4383 	419.4845 	2.2402 	369.1349 	1.6104
2 	0.7014 	1.7379 	200.8451 	1.1897 	196.6376 	1.0538
3 	0.7702 	1.6834 	175.0941 	1.2724 	203.7783 	0.7067
4 	0.7696 	4.5467 	397.7681 	1.3248 	378.8434 	1.1281
5 	1.2918 	2.6824 	270.8079 	1.9593 	262.6408 	1.0971
6 	0.586 	2.0183 	391.5292 	1.0179 	319.629 	1.7632
7 	0.877 	1.7551 	189.1214 	1.4053 	194.5348 	0.9293
8 	0.8724 	1.4251 	153.2733 	1.3715 	157.9251 	0.923
9 	1.0702 	2.352 	276.1147 	1.5788 	246.8665 	1.4899
10 	0.3704 	3.4168 	305.0923 	0.7044 	272.5163 	1.2907
11 	0.9562 	1.3246 	179.1138 	1.4456 	187.3501 	0.8804
12 	0.5895 	1.8975 	255.0705 	0.8977 	233.8018 	1.3208
13 	0.4434 	1.6033 	202.827 	0.8462 	190.9273 	1.1406
14 	0.652 	2.1207 	222.3873 	1.0534 	228.4483 	0.9332
15 	1.4182 	2.2444 	274.6081 	2.0468 	255.9823 	1.2835
16 	0.9887 	3.7295 	383.262 	1.5 	330.1522 	1.685
17 	0.7102 	1.974 	321.4487 	1.1681 	280.0031 	1.4901
18 	0.7799 	3.9738 	359.8913 	1.3448 	284.7993 	1.987
19 	0.8185 	1.7497 	218.8026 	1.3111 	208.7103 	1.1399
20 	0.635 	3.5725 	295.5362 	1.0664 	265.3008 	1.3385
21 	1.0163 	1.8232 	200.7578 	1.5511 	198.1813 	1.0387
22 	0.7753 	1.5853 	260.7902 	1.2327 	232.0803 	1.4218
23 	0.5273 	2.7716 	281.3111 	0.9277 	292.8084 	0.9135
24 	0.9567 	1.125 	228.9638 	1.4676 	207.1752 	1.3762
25 	0.6858 	1.2748 	214.6241 	1.1306 	183.8317 	1.5739
26 	1.2157 	1.396 	164.3627 	1.7951 	165.9518 	0.9709
27 	0.6924 	4.048 	547.0552 	1.1568 	433.622 	2.0682
28 	0.3596 	1.4146 	227.7197 	0.7066 	207.0772 	1.2264
29 	1.1408 	1.6662 	284.499 	1.7026 	256.7274 	1.4202
30 	1.1239 	1.7153 	192.3084 	1.6816 	213.3779 	0.7517
31 	0.5744 	1.8787 	194.4945 	1.031 	193.4039 	1.0128
32 	0.5992 	1.7885 	222.7526 	1.0375 	201.258 	1.296
33 	0.9262 	1.3072 	172.9007 	1.4082 	184.0581 	0.8414
34 	1.0489 	3.9345 	462.8651 	1.6221 	380.6809 	2.0101
35 	0.726 	1.3007 	214.3741 	1.2013 	195.0122 	1.2958
36 	0.6721 	1.1266 	139.8037 	1.1185 	146.9669 	0.8862
37 	0.9186 	2.0578 	181.8813 	1.4346 	190.7096 	0.8811
38 	0.5998 	2.9528 	292.3542 	1.0842 	255.8086 	1.3885
39 	0.7143 	1.3552 	215.0814 	1.1722 	192.125 	1.376
40 	0.4916 	1.3756 	256.0512 	0.917 	215.7801 	1.513
41 	0.6043 	3.8274 	302.0174 	1.0225 	270.6674 	1.3401
42 	0.8683 	1.2832 	185.3659 	1.3761 	168.533 	1.3264
43 	1.1081 	1.4013 	161.7113 	1.7088 	166.8982 	0.9164
44 	0.3187 	1.7051 	231.2053 	0.6442 	208.1073 	1.2464
45 	1.0271 	3.64 	296.7944 	1.5664 	260.0219 	1.5622
46 	0.6812 	1.2206 	169.9838 	1.1369 	164.9874 	1.0791
47 	0.9982 	1.8293 	325.4067 	1.5125 	290.4887 	1.461
48 	0.8497 	1.9012 	349.7874 	1.325 	285.185 	2.0614
49 	1.2189 	1.0428 	192.2145 	1.8422 	179.6103 	1.2404
50 	0.373 	1.9005 	244.7955 	0.7138 	220.0263 	1.269
51 	0.8196 	1.4749 	187.6981 	1.3471 	171.7974 	1.276
52 	1.2733 	3.1464 	448.2426 	1.9588 	372.6197 	1.9309
53 	0.702 	2.2478 	276.3637 	1.1382 	274.0377 	1.0225
54 	0.6188 	1.647 	194.3668 	1.0674 	172.0923 	1.3749
55 	0.8859 	1.9173 	282.2983 	1.392 	238.8564 	1.7337
56 	0.8652 	1.7351 	282.4392 	1.3926 	255.4818 	1.337
57 	0.4753 	4.8219 	359.0233 	0.8319 	295.3485 	1.7056
58 	0.8435 	1.6006 	284.3786 	1.3557 	240.3332 	1.6949
59 	0.6574 	2.4568 	350.5248 	1.0327 	298.9918 	1.6796
