Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.5633 	1.1254 	291.3691 	1.028 	285.6557 	1.0453
2 	0.2664 	2.2134 	733.424 	0.5659 	754.3875 	0.9488
3 	0.4567 	1.6058 	686.1794 	0.8494 	586.9355 	1.4553
4 	0.8886 	3.1716 	968.0816 	1.4018 	894.0805 	1.2639
5 	0.8319 	2.9734 	1003.7959 	1.2515 	1030.2982 	0.927
6 	0.6673 	8.0974 	2128.3455 	1.0321 	2004.0535 	1.1979
7 	0.7595 	4.0313 	2186.3467 	1.2543 	2061.8272 	1.1687
8 	1.0507 	6.4799 	3182.971 	1.5794 	2911.1252 	1.3425
9 	0.4847 	7.6044 	3786.5964 	0.8558 	3179.0639 	1.5873
10 	0.6044 	14.5298 	6139.5824 	1.0232 	4784.1543 	2.1708
11 	0.4716 	16.8677 	7244.3953 	0.8502 	5283.8785 	2.5492
12 	0.6245 	1.4193 	462.4636 	1.2308 	417.6317 	1.245
13 	0.4465 	1.3699 	565.7169 	0.8388 	516.6358 	1.2278
14 	0.8827 	8.7778 	2982.794 	1.4162 	2660.796 	1.4016
15 	0.2435 	1.4363 	494.3721 	0.6551 	488.8378 	1.0181
16 	0.5468 	5.2248 	2724.8899 	0.935 	2282.7976 	1.6413
17 	1.4756 	7.1561 	2556.4822 	2.241 	2456.9977 	1.1286
18 	1.0679 	8.4506 	4368.5112 	1.6322 	3460.5848 	2.5075
19 	0.7459 	1.1609 	368.7725 	1.2558 	359.1885 	1.0684
20 	0.7688 	1.7887 	607.5179 	1.296 	564.0262 	1.2136
21 	0.9196 	3.8546 	1333.9891 	1.4144 	1278.2198 	1.1357
22 	1.2324 	3.0319 	1454.6712 	1.8184 	1397.2114 	1.1397
23 	0.4375 	1.8586 	711.9501 	0.8034 	636.519 	1.3032
24 	0.838 	1.8345 	854.8009 	1.3761 	813.2518 	1.142
25 	0.2872 	1.5655 	518.5833 	0.5599 	486.6806 	1.1446
26 	0.8203 	2.8901 	1059.8429 	1.3238 	1095.4038 	0.9189
27 	0.5967 	1.3741 	343.1686 	1.0257 	348.5404 	0.9639
28 	1.0166 	1.4687 	531.8735 	1.5383 	551.1105 	0.9036
29 	1.0715 	1.5663 	447.7601 	1.7067 	445.6972 	1.0125
30 	0.2193 	1.3157 	359.3533 	0.5518 	342.2808 	1.0856
31 	0.5245 	1.5885 	552.5161 	0.9068 	549.4639 	1.0133
32 	0.8245 	3.2132 	1244.0842 	1.3482 	1295.3219 	0.9041
33 	0.4531 	1.6916 	683.8008 	0.8304 	660.182 	1.0823
34 	0.9516 	1.9353 	792.5148 	1.4622 	735.0179 	1.2622
35 	1.073 	2.6906 	1080.0356 	1.6054 	1013.1246 	1.2298
36 	0.7156 	1.3321 	436.7001 	1.173 	425.4884 	1.0705
37 	0.2727 	1.3466 	320.2614 	0.5639 	313.7252 	1.0411
38 	0.2677 	0.923 	285.2542 	0.5824 	305.9685 	0.8815
39 	0.6302 	1.6341 	573.2989 	1.071 	569.9201 	1.0145
40 	0.436 	2.1048 	719.4373 	0.7866 	669.3576 	1.1851
41 	0.591 	1.2394 	343.7947 	1.0282 	343.7969 	1
42 	0.5979 	2.0635 	733.6327 	1.0258 	731.9575 	1.0055
43 	0.4373 	2.6816 	918.8648 	0.766 	894.1296 	1.0669
44 	0.5811 	1.3083 	335.9589 	1.0269 	329.8066 	1.044
45 	0.4244 	4.6362 	1656.2452 	0.788 	1652.3907 	1.0051
46 	0.2914 	6.6768 	2424.0469 	0.6083 	2477.2408 	0.9596
47 	0.3685 	1.8336 	580.2538 	0.7582 	578.6372 	1.0054
48 	0.4572 	2.5766 	1151.2648 	0.8286 	921.8421 	1.8008
49 	0.7332 	3.2316 	1621.8115 	1.1867 	1361.0925 	1.726
50 	0.5995 	2.4378 	886.0129 	1.0178 	862.8164 	1.068
51 	0.5834 	5.3872 	2445.5332 	1.0068 	2226.55 	1.2705
52 	0.3356 	7.375 	3017.926 	0.6679 	2824.1155 	1.1482
53 	0.5449 	3.0635 	1525.277 	0.9592 	1308.9452 	1.489
54 	0.4885 	4.2028 	1447.7541 	0.8943 	1315.2566 	1.2526
55 	0.5446 	5.4792 	2757.4007 	0.9477 	2291.6698 	1.6586
56 	0.9395 	1.9854 	524.8046 	1.4559 	526.3542 	0.9917
57 	0.8154 	0.9779 	325.9391 	1.3491 	316.3571 	1.0803
58 	0.6289 	1.9253 	903.0983 	1.0216 	730.4483 	1.9895
59 	0.343 	2.0478 	603.6314 	0.6882 	591.603 	1.0414
60 	0.6669 	1.2263 	495.3362 	1.1362 	461.0329 	1.2014
61 	0.5673 	3.1662 	1201.4858 	1.0493 	1182.7345 	1.0352
62 	0.7867 	6.1334 	1944.1509 	1.303 	1891.2458 	1.0737
63 	0.5266 	3.7309 	1939.0064 	0.8621 	1574.9147 	1.9323
64 	0.755 	4.0246 	2178.5201 	1.2221 	1839.3455 	1.6873
65 	0.8319 	4.7951 	2797.2109 	1.3258 	2260.0734 	2.0638
66 	0.3732 	1.6426 	499.2771 	0.7165 	482.5148 	1.0753
67 	0.6062 	4.9442 	1898.3138 	1.0226 	1780.8705 	1.1792
68 	0.8015 	1.6262 	683.6677 	1.2782 	613.2788 	1.3814
69 	0.5998 	1.6482 	698.3227 	1.0228 	627.4235 	1.3254
70 	1.4604 	5.4502 	1967.7467 	2.2491 	1814.1462 	1.2863
71 	0.8316 	4.2213 	2678.304 	1.3286 	2156.0198 	2.0891
72 	1.3536 	4.5151 	2224.3683 	1.9634 	2071.8755 	1.2833
73 	0.8035 	3.0136 	1133.5342 	1.3026 	1021.695 	1.3468
