Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	1.272 	1.4007 	296.3122 	1.8688 	271.8662 	1.3483
2 	0.9342 	33.3172 	203.0172 	1.529 	224.0334 	0.7898
3 	0.9871 	77.1815 	284.7596 	1.7255 	242.3716 	1.5334
4 	1.2297 	0.5896 	392.3808 	1.8113 	329.2865 	2.0031
5 	0.4755 	10.4347 	273.7743 	0.8835 	238.7837 	1.3827
6 	0.5552 	0.8575 	481.8593 	0.9524 	413.0501 	1.5208
7 	1.083 	3.3426 	501.0925 	1.6251 	472.3416 	1.2077
8 	0.7173 	58.0185 	293.9744 	1.1573 	314.4213 	0.8453
9 	1.5533 	1.7979 	396.4107 	2.3183 	337.3675 	1.8227
10 	0.6993 	120.6973 	252.7711 	1.2096 	226.882 	1.3206
11 	0.5966 	1.4043 	536.4571 	1.0205 	424.3288 	2.0127
12 	0.5951 	3.9283 	468.4099 	1.0375 	381.1718 	1.7752
13 	0.7841 	102.9539 	448.4936 	1.299 	346.9508 	2.3317
14 	0.7442 	1.6707 	437.5851 	1.1478 	356.9883 	2.1003
15 	1.0405 	37.0606 	494.9998 	1.7502 	484.0732 	1.0576
16 	0.7316 	37.0438 	255.263 	1.1829 	294.2822 	0.714
17 	0.6953 	0.8533 	446.2633 	1.1291 	361.5413 	1.9768
18 	0.6245 	5.5268 	480.1833 	1.0026 	428.6246 	1.398
19 	0.426 	88.1676 	322.4368 	0.7227 	287.9937 	1.3517
20 	0.3877 	3.2345 	358.8847 	0.6619 	292.9402 	1.7971
21 	0.689 	3.2792 	471.9069 	1.1317 	390.3447 	1.7916
22 	0.7159 	30.1766 	329.9041 	1.2069 	347.1683 	0.886
23 	1.0155 	14.8792 	587.8757 	1.5484 	487.5277 	1.9841
24 	1.4348 	17.2553 	447.0527 	2.1428 	444.4714 	1.0178
25 	1.4412 	27.082 	333.9515 	2.0122 	333.6878 	1.0028
26 	1.277 	64.2408 	513.8809 	1.9138 	483.5611 	1.2155
27 	0.7106 	93.8676 	387.1044 	1.2008 	383.4261 	1.0238
28 	0.9543 	1.1475 	514.9764 	1.4987 	412.3537 	2.2154
29 	0.7487 	2.4462 	454.0109 	1.156 	383.2486 	1.7932
30 	0.4398 	103.0072 	472.8377 	0.8084 	424.3118 	1.2904
31 	0.849 	2.1957 	211.5331 	1.372 	237.558 	0.756
32 	0.7898 	1.8652 	424.8589 	1.2219 	368.0308 	1.6084
33 	0.597 	13.9411 	522.5881 	1.0257 	487.5023 	1.1914
34 	1.1715 	0.988 	440.5271 	1.7461 	378.4196 	1.7497
35 	1.4787 	12.5157 	287.2295 	2.2739 	255.1519 	1.4692
36 	0.9725 	12.1339 	435.2318 	1.489 	381.2323 	1.5569
37 	0.7511 	16.124 	412.2375 	1.2157 	414.897 	0.9834
38 	0.7677 	1.0107 	591.5216 	1.2396 	478.9171 	2.0002
39 	0.6222 	6.6331 	491.1006 	1.1102 	435.6874 	1.3453
40 	0.8155 	2.9174 	632.1855 	1.3016 	547.2373 	1.562
41 	1.3003 	0.7681 	284.3272 	1.8841 	261.267 	1.3546
42 	0.7697 	6.2333 	532.4305 	1.245 	449.2872 	1.6923
43 	0.4861 	80.6496 	435.502 	0.9071 	324.249 	2.2243
44 	1.1173 	1.134 	330.8585 	1.6902 	349.3687 	0.8583
45 	0.4928 	1.5255 	765.3159 	0.871 	623.4827 	1.7448
46 	0.6804 	1.8786 	415.0767 	1.1644 	351.8858 	1.578
47 	0.7778 	28.9605 	218.0845 	1.2695 	229.0793 	0.8848
48 	1.3823 	3.7477 	697.0991 	2.0118 	584.4926 	2.067
49 	0.5873 	44.5263 	507.3928 	1.0062 	476.0005 	1.1746
50 	0.7456 	5.0272 	580.6712 	1.196 	475.0367 	1.9344
51 	0.4794 	0.914 	497.3766 	0.8661 	438.3643 	1.3619
