Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.6503 	12.328 	405.3371 	1.0268 	368.4908 	1.3296
2 	0.5747 	2.9039 	540.4394 	0.991 	441.6596 	1.7701
3 	1.1835 	0.83 	343.3323 	1.7477 	330.2432 	1.1339
4 	0.8647 	14.6567 	216.4795 	1.379 	239.0493 	0.7815
5 	0.4617 	1.3967 	467.8999 	0.8561 	434.008 	1.1866
6 	1.1061 	3.6786 	233.9181 	1.6007 	272.4736 	0.6521
7 	0.3324 	18.2122 	580.0042 	0.6514 	499.3298 	1.3967
8 	0.9467 	1.2899 	326.6112 	1.4898 	329.98 	0.9725
9 	0.6434 	0.732 	333.7406 	1.0753 	292.3329 	1.447
10 	1.1468 	0.4992 	201.9133 	1.7154 	218.9413 	0.7972
11 	0.8446 	0.8467 	529.1908 	1.3503 	438.278 	1.8476
12 	0.5089 	35.5512 	432.7136 	0.8291 	444.1205 	0.9361
13 	0.5855 	70.8178 	378.1877 	0.9935 	381.6818 	0.978
14 	0.5011 	1.0678 	362.8192 	0.9148 	334.8978 	1.2051
15 	0.9834 	3.1983 	695.3138 	1.5034 	548.6284 	2.5638
16 	0.5852 	65.4239 	773.8704 	0.9653 	627.0689 	1.9296
17 	1.1388 	17.0041 	474.8192 	1.7601 	414.9774 	1.5553
18 	0.6225 	93.6287 	383.7077 	1.0544 	371.7713 	1.0822
19 	0.699 	25.1127 	259.4052 	1.174 	245.2168 	1.1563
20 	0.6777 	6.489 	220.127 	1.0656 	237.3904 	0.8227
21 	0.8587 	9.0359 	207.2752 	1.3461 	213.3466 	0.9252
22 	0.9825 	0.8107 	534.2854 	1.5186 	463.5191 	1.6006
23 	1.074 	1.3514 	589.2971 	1.6731 	494.4389 	1.8167
24 	0.5875 	1.5874 	749.3729 	0.9939 	561.0038 	2.5952
25 	0.6335 	0.7429 	237.8818 	1.0827 	291.581 	0.6476
26 	0.4443 	3.1888 	490.6127 	0.8765 	421.1467 	1.4028
27 	0.5748 	3.6675 	789.2603 	0.98 	584.9971 	2.6727
28 	0.4284 	102.1917 	347.0613 	0.7339 	323.8814 	1.1911
29 	0.4744 	90.3936 	442.2303 	0.8717 	357.7245 	1.7218
30 	0.5228 	57.0648 	374.0857 	0.9583 	321.8353 	1.4437
31 	0.6019 	1.8661 	257.2895 	1.0135 	298.7099 	0.7161
32 	0.5056 	34.1015 	318.0584 	0.9205 	308.701 	1.0698
33 	0.8721 	9.7005 	230.3804 	1.3582 	249.8475 	0.809
34 	0.4272 	59.0945 	507.2413 	0.7891 	412.3556 	1.6889
35 	0.6647 	0.7168 	261.6629 	1.1139 	298.9006 	0.7392
36 	1.3421 	1.8398 	264.5497 	2.0156 	259.5134 	1.0604
