Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.8868 	2.4745 	523.9047 	1.3838 	480.1477 	1.303
2 	0.9511 	64.4801 	258.9017 	1.5047 	276.6086 	0.8433
3 	0.6255 	8.565 	321.882 	1.0518 	344.8389 	0.8503
4 	0.6425 	7.4504 	279.6859 	1.0703 	314.3645 	0.7633
5 	0.5869 	1.6641 	551.9327 	1.0188 	442.9088 	1.8726
6 	0.6886 	1.1163 	769.0649 	1.16 	590.9747 	2.3244
7 	0.8918 	4.3305 	670.1017 	1.4076 	549.7881 	1.9609
8 	0.5931 	0.9945 	414.4201 	1.0048 	354.2873 	1.5483
9 	0.6185 	26.7425 	623.9151 	0.9783 	477.0551 	2.7777
10 	0.7093 	108.9592 	349.4946 	1.3061 	323.2589 	1.1966
11 	0.5532 	1.8703 	847.7346 	0.9602 	655.0118 	2.1566
12 	0.6051 	69.3193 	475.8956 	0.9481 	486.0074 	0.9445
13 	0.5013 	100.1567 	708.8024 	0.8191 	636.4407 	1.3571
14 	0.9901 	2.1167 	506.8798 	1.5254 	410.0849 	2.194
15 	0.3436 	23.2172 	934.2381 	0.6474 	698.6731 	2.1619
16 	0.997 	3.3009 	389.0057 	1.4539 	338.1938 	1.7112
17 	0.7524 	3.982 	878.9177 	1.2198 	717.7539 	1.9176
18 	0.7727 	13.7526 	632.0051 	1.2407 	545.6764 	1.5677
19 	0.2735 	22.447 	967.6013 	0.5528 	684.4822 	2.3763
20 	0.8914 	2.8932 	330.2388 	1.3949 	362.8879 	0.785
21 	0.7177 	1.3474 	436.0531 	1.1849 	410.9791 	1.1707
22 	1.5323 	82.9655 	835.9215 	2.2802 	731.2895 	1.6172
