Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	1.0974 	1.1747 	192.5165 	1.7094 	173.3468 	1.3853
2 	0.3589 	4.6264 	467.3863 	0.6274 	382.7829 	1.7332
3 	1.1301 	2 	330.8303 	1.6906 	280.8899 	1.8358
4 	0.7619 	1.8664 	285.236 	1.2407 	248.4318 	1.5024
5 	0.5763 	2.2998 	203.9381 	1.0623 	185.2858 	1.2499
6 	0.5245 	2.3697 	209.8684 	0.9125 	192.2585 	1.2459
7 	0.7007 	1.7801 	275.3679 	1.1247 	241.6498 	1.4811
8 	0.6429 	3.5963 	384.8576 	1.0827 	325.1755 	1.6175
9 	0.7964 	1.788 	273.2678 	1.268 	244.3357 	1.398
10 	0.6675 	2.5491 	296.5343 	1.0502 	283.9231 	1.1321
11 	1.2177 	3.4126 	340.7556 	1.8939 	333.1907 	1.0663
12 	0.3352 	2.8792 	325.3739 	0.5959 	282.8735 	1.4256
13 	0.8696 	1.7867 	207.8087 	1.3609 	190.6001 	1.2976
14 	0.8384 	1.8781 	328.4977 	1.3245 	293.3186 	1.412
15 	0.427 	7.7118 	585.0767 	0.7901 	418.2878 	2.6331
16 	0.6332 	1.8804 	199.2395 	1.0862 	194.259 	1.0638
17 	0.8137 	1.7773 	186.7184 	1.2914 	174.9083 	1.2062
18 	0.7246 	2.0743 	209.3115 	1.1898 	204.9447 	1.0564
19 	0.9787 	3.3389 	529.8963 	1.5213 	428.4693 	2.1585
20 	0.9755 	1.7128 	207.4677 	1.557 	195.035 	1.1911
21 	1.1459 	2.0789 	304.2908 	1.7058 	286.0482 	1.2235
22 	1.7269 	2.128 	375.5967 	2.4411 	326.7739 	1.7995
23 	0.8088 	1.4936 	161.7356 	1.2884 	172.7148 	0.8458
24 	1.5018 	2.4294 	327.79 	2.1077 	304.5907 	1.3266
25 	0.9548 	2.4069 	243.5745 	1.4995 	260.3893 	0.8403
26 	0.7307 	4.5456 	466.0285 	1.2233 	382.9037 	1.7951
27 	0.697 	1.97 	275.3926 	1.1289 	252.6259 	1.2757
28 	0.7939 	2.2629 	241.5333 	1.3159 	237.1793 	1.0476
29 	1.1803 	2.1447 	282.127 	1.7628 	259.0696 	1.3286
30 	1.123 	2.6487 	308.3386 	1.6556 	292.7416 	1.1866
31 	0.8845 	2.3278 	254.4473 	1.4638 	228.9305 	1.3395
32 	0.6663 	2.1444 	378.8334 	1.1109 	312.7432 	1.7729
33 	0.5242 	2.284 	225.5119 	0.9002 	247.4462 	0.8111
34 	0.5442 	4.0156 	402.0271 	0.9456 	391.951 	1.0627
35 	0.5703 	2.8685 	295.4981 	0.9358 	276.4905 	1.1972
36 	0.505 	2.156 	195.7574 	0.9058 	184.8445 	1.1441
37 	0.9091 	2.0863 	298.7563 	1.4333 	251.3291 	1.767
38 	0.5852 	1.8452 	173.7072 	0.9351 	182.5313 	0.8805
39 	0.7383 	1.6806 	320.8317 	1.2243 	261.3043 	1.8776
40 	0.977 	1.8583 	389.6874 	1.5161 	321.5425 	1.9678
41 	1.1258 	1.8977 	225.9615 	1.6726 	211.6354 	1.2406
42 	0.9652 	3.7188 	350.8616 	1.4374 	328.8132 	1.2365
43 	1.2335 	3.8881 	728.0056 	1.7274 	614.8264 	2.1916
44 	0.5217 	5.0069 	525.7219 	0.9492 	422.0955 	1.7783
45 	0.7668 	1.8005 	255.879 	1.2542 	227.7152 	1.3951
46 	0.7724 	1.5582 	166.9527 	1.2526 	182.0543 	0.8091
47 	0.2899 	5.7032 	440.0674 	0.5857 	366.4124 	1.4957
48 	1.0526 	5.8809 	505.2844 	1.6896 	452.4732 	1.3836
49 	0.6255 	2.5403 	235.5958 	1.0704 	254.6962 	0.8368
50 	0.4402 	2.1341 	294.9019 	0.8219 	258.9419 	1.356
51 	0.7198 	1.5963 	165.4361 	1.1798 	178.6154 	0.8303
52 	1.198 	4.7305 	496.1787 	1.7539 	439.6018 	1.5619
53 	0.4669 	2.5747 	396.7955 	0.8525 	332.9586 	1.552
54 	0.6845 	3.6474 	504.429 	1.1641 	407.8991 	1.8673
55 	0.8637 	1.9127 	275.3392 	1.3559 	236.6821 	1.6307
56 	0.6697 	1.4582 	182.1602 	1.1298 	187.5746 	0.932
57 	0.8301 	2.5729 	243.5954 	1.3187 	253.9399 	0.8972
58 	0.6845 	2.3962 	208.5504 	1.1 	237.9113 	0.7285
59 	0.8271 	3.3691 	417.6942 	1.333 	391.5761 	1.1973
60 	0.7878 	2.6161 	221.1727 	1.3265 	234.9674 	0.8669
61 	0.6301 	2.4927 	213.1259 	1.0576 	229.9712 	0.8364
62 	0.8843 	1.4445 	283.5066 	1.3791 	240.1458 	1.7431
63 	0.3682 	5.2384 	433.4857 	0.711 	309.9503 	2.4448
64 	1.0589 	2.8157 	329.2941 	1.6515 	301.268 	1.311
65 	0.6789 	2.7114 	323.8576 	1.0651 	276.7562 	1.6698
66 	0.7157 	1.7488 	184.0525 	1.2643 	180.299 	1.0493
67 	1.0412 	2.0443 	175.2068 	1.6228 	188.6399 	0.8238
68 	0.9341 	2.9922 	284.308 	1.3525 	283.3737 	1.0107
69 	1.0163 	2.4743 	441.9717 	1.5675 	356.4835 	2.2224
70 	0.6003 	2.434 	189.5239 	1.066 	168.3876 	1.3428
71 	0.6477 	3.3121 	261.5612 	1.1903 	215.6951 	1.6251
72 	0.3746 	5.8027 	519.7561 	0.7088 	417.1875 	1.7197
73 	1.0029 	1.9466 	263.7012 	1.5404 	237.8106 	1.3916
74 	1.392 	3.1621 	704.7852 	2.017 	587.2388 	2.1657
75 	0.7623 	2.0989 	224.5919 	1.2579 	216.2834 	1.1036
76 	0.5146 	3.2724 	443.4242 	0.8944 	413.6464 	1.1879
77 	1.4074 	3.22 	428.7138 	2.1225 	384.4978 	1.4412
78 	0.6699 	1.5023 	146.9563 	1.1087 	145.6846 	1.0224
79 	0.7837 	2.2048 	511.4796 	1.2747 	393.0854 	2.506
