Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	1.041 	4.1151 	443.9973 	1.637 	359.3111 	2.1003
2 	0.7989 	3.2464 	462.4193 	1.2875 	376.0715 	1.9687
3 	0.635 	41.5439 	538.3621 	1.0473 	426.666 	2.1141
4 	0.6745 	68.3777 	538.1015 	1.1541 	425.0291 	2.0229
5 	0.6131 	65.0165 	466.4662 	1.1146 	362.8134 	1.9757
6 	0.668 	35.955 	399.936 	1.1043 	339.2688 	1.6232
7 	0.7747 	3.8399 	259.5856 	1.2901 	273.6116 	0.8809
8 	1.2484 	1.5409 	807.9991 	1.8444 	651.8603 	2.4875
9 	1.1077 	4.2603 	742.4131 	1.6484 	638.0494 	1.75
10 	0.8831 	18.0021 	253.4706 	1.4074 	260.2362 	0.9331
11 	0.6658 	13.9858 	314.2938 	1.1172 	316.7029 	0.9814
12 	0.7204 	4.9283 	399.3847 	1.0984 	383.1301 	1.1341
13 	1.062 	0.602 	530.482 	1.5893 	427.5653 	2.4079
14 	1.2195 	13.4451 	642.5663 	1.8271 	522.5139 	2.2821
15 	0.7054 	29.5608 	347.8457 	1.1552 	347.6485 	1.0015
16 	0.4618 	44.9887 	444.3012 	0.8287 	361.9313 	1.7205
17 	0.5942 	25.6446 	480.8472 	1.0527 	390.6282 	1.7567
18 	0.4529 	118.2024 	241.3668 	0.8391 	209.1382 	1.4087
19 	0.9629 	0.5216 	201.8624 	1.4881 	218.7977 	0.8079
20 	0.6915 	1.3281 	756.1252 	1.1516 	571.4075 	2.5739
21 	0.4225 	39.85 	512.5175 	0.7289 	401.1238 	2.0706
22 	0.4433 	8.0632 	248.4688 	0.7981 	266.4904 	0.8597
23 	1.0139 	1.2165 	529.8898 	1.5543 	425.0688 	2.3201
24 	0.7755 	1.599 	700.9618 	1.2081 	628.531 	1.4056
25 	1.3421 	0.8015 	592.5241 	1.9932 	496.1637 	1.9916
26 	0.944 	56.8043 	290.5686 	1.5278 	300.7852 	0.9157
27 	0.4924 	2.455 	1336.2149 	0.853 	974.2933 	2.7835
28 	0.676 	10.8258 	280.926 	1.1385 	284.5254 	0.9694
29 	0.7081 	12.7047 	563.6462 	1.1599 	473.2522 	1.6999
30 	0.2973 	0.9146 	235.0084 	0.6191 	256.1703 	0.8523
31 	1.2601 	1.2235 	728.5878 	1.8547 	606.8701 	2.0881
32 	0.6042 	2.9477 	525.3807 	1.0208 	453.5192 	1.504
33 	0.4321 	8.9578 	251.89 	0.8149 	242.4581 	1.0866
34 	0.4668 	128.8529 	380.8801 	0.8553 	299.2518 	1.8934
35 	0.7746 	1.096 	192.7911 	1.285 	213.0258 	0.791
36 	1.0482 	0.8881 	372.9946 	1.5425 	334.4862 	1.4752
37 	0.7003 	22.9123 	437.4295 	1.1625 	354.0323 	1.9212
38 	0.3121 	2.1526 	487.1293 	0.5664 	437.9699 	1.2899
39 	1.9408 	2.9751 	387.8342 	2.6739 	352.8499 	1.4903
40 	0.7198 	9.9209 	479.7906 	1.1777 	420.2414 	1.4689
41 	0.3223 	2.268 	430.1047 	0.5826 	389.1326 	1.271
42 	0.6713 	24.16 	295.2947 	1.134 	268.3333 	1.2883
43 	0.5127 	58.7183 	392.4353 	0.9016 	317.3708 	1.7968
44 	0.4516 	61.1057 	369.2792 	0.838 	331.2632 	1.2874
45 	0.5308 	6.6552 	455.1065 	0.9328 	346.5025 	2.2408
