Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.9571 	1.7125 	305.305 	1.5173 	263.9313 	1.58
2 	0.5443 	2.2697 	271.4256 	0.9368 	261.9256 	1.0911
3 	0.9052 	2.3705 	228.8287 	1.3772 	250.8651 	0.7807
4 	1.1562 	5.4748 	403.9028 	1.8206 	407.2139 	0.978
5 	0.2693 	6.0455 	571.2196 	0.5582 	483.7298 	1.4204
6 	0.6793 	2.1527 	189.5679 	1.0698 	200.7822 	0.8605
7 	0.8636 	2.2617 	268.4184 	1.3424 	251.1772 	1.2196
8 	0.6852 	2.972 	484.2496 	1.1062 	391.969 	2.0029
9 	0.937 	2.9827 	458.5486 	1.4936 	371.3361 	2.0422
10 	0.6795 	2.3836 	376.4157 	1.1172 	309.3996 	1.8329
11 	1.0243 	2.7478 	287.0358 	1.4925 	256.6072 	1.5104
12 	0.5802 	2.0122 	198.4818 	1.0075 	185.876 	1.1761
13 	1.0671 	1.6595 	207.3327 	1.619 	196.2522 	1.1859
14 	0.657 	2.8591 	354.1011 	1.1729 	333.3714 	1.1535
15 	0.6621 	1.8335 	371.176 	1.1063 	300.0346 	1.9133
16 	0.8338 	1.7123 	306.0929 	1.322 	260.279 	1.6814
17 	0.88 	5.4943 	637.0682 	1.4257 	543.2157 	1.6257
18 	0.5904 	7.1264 	412.5429 	1.0114 	383.3791 	1.2046
19 	0.6233 	1.8792 	198.2437 	0.9092 	199.2614 	0.9839
20 	0.5941 	2.6751 	449.0354 	0.9889 	379.12 	1.6392
21 	0.8635 	1.5245 	246.5467 	1.3023 	221.7854 	1.4246
22 	0.6228 	2.4946 	317.7547 	1.0547 	284.6889 	1.3407
23 	0.728 	2.6952 	401.4276 	1.2054 	329.1321 	1.8339
24 	0.577 	2.9759 	378.9067 	1.0002 	337.6803 	1.3462
25 	0.6811 	2.7733 	354.964 	1.1596 	313.7973 	1.3909
26 	0.9043 	3.2429 	423.4908 	1.4034 	355.3669 	1.8258
27 	0.8472 	1.738 	274.8316 	1.3848 	238.6105 	1.514
28 	0.7387 	3.4736 	403.9518 	1.1938 	376.8787 	1.2133
29 	0.3019 	5.1413 	515.3005 	0.5681 	470.3396 	1.2288
30 	0.7269 	1.5368 	220.2694 	1.1791 	199.6734 	1.3224
31 	0.6366 	8.1943 	696.2865 	1.0477 	543.4734 	2.2691
32 	0.7261 	2.1185 	374.1508 	1.2101 	317.4594 	1.61
33 	0.9146 	2.2043 	225.7634 	1.3971 	219.9049 	1.0812
34 	0.6926 	3.2452 	305.2413 	1.2116 	272.8692 	1.3291
35 	0.6055 	3.9776 	798.4649 	1.0233 	585.3606 	2.8869
36 	0.6204 	3.4064 	413.882 	1.0193 	323.6062 	2.2594
37 	0.6633 	3.2168 	348.9365 	1.1017 	292.9453 	1.6758
38 	0.3001 	3.1189 	343.5456 	0.6126 	333.9573 	1.0579
39 	0.7311 	1.7367 	184.0309 	1.1825 	189.9092 	0.9228
40 	0.9438 	2.5929 	398.9077 	1.4581 	340.7792 	1.7039
41 	0.3796 	4.685 	268.8359 	0.7367 	224.793 	1.5105
42 	0.7049 	2.6238 	251.5142 	1.1649 	220.3033 	1.4582
43 	0.6483 	2.8226 	206.6403 	1.0789 	225.1382 	0.8168
44 	0.8627 	4.2456 	316.0345 	1.3917 	270.9309 	1.6012
45 	0.531 	4.6391 	394.2542 	0.8915 	382.5327 	1.0794
46 	0.7938 	1.8297 	188.3829 	1.2795 	188.3453 	1.0005
47 	0.9072 	3.5064 	266.0395 	1.4176 	264.1591 	1.02
48 	0.5128 	4.8373 	283.5254 	0.9295 	244.276 	1.4468
49 	0.3516 	3.0336 	326.0929 	0.6635 	288.1524 	1.3288
50 	0.6339 	2.809 	342.8689 	1.1765 	280.0642 	1.6588
51 	0.872 	2.702 	389.6249 	1.3863 	318.3589 	1.9724
52 	0.7936 	3.7097 	267.5321 	1.2661 	251.9466 	1.185
53 	0.9862 	1.9684 	333.8105 	1.4845 	297.6773 	1.476
54 	0.714 	3.1536 	362.034 	1.1761 	319.3371 	1.4289
55 	0.6101 	5.2657 	625.2111 	1.0664 	451.8906 	2.8403
56 	0.7932 	3.6439 	240.8524 	1.2726 	222.1508 	1.2596
57 	0.738 	1.5692 	329.009 	1.1927 	270.5629 	1.8724
58 	0.6136 	3.8916 	446.0727 	1.0247 	374.5653 	1.6654
59 	0.6823 	1.5951 	351.0264 	1.1207 	281.5133 	2.0253
60 	0.4735 	3.3027 	241.1501 	0.888 	187.6783 	1.9049
61 	0.9822 	1.8256 	297.684 	1.4944 	270.5667 	1.362
62 	0.644 	2.4433 	385.2937 	1.0737 	322.9377 	1.679
63 	1.0417 	2.1758 	486.0142 	1.582 	389.0322 	2.4051
64 	0.509 	2.6715 	200.6248 	0.8931 	171.5861 	1.5073
65 	0.5426 	2.9 	532.5149 	0.955 	416.6116 	2.0165
66 	0.7153 	1.6018 	306.0067 	1.1417 	260.2767 	1.667
67 	1.1941 	2.0678 	377.913 	1.7005 	322.5243 	1.9692
68 	0.7922 	1.3275 	153.0292 	1.293 	158.4316 	0.9165
69 	0.7919 	1.3019 	149.1796 	1.285 	155.6232 	0.8988
70 	0.6505 	4.8345 	583.6093 	1.0889 	506.8321 	1.4854
71 	0.8868 	3.5351 	566.1676 	1.3993 	466.1231 	1.9323
72 	0.954 	4.0024 	337.4049 	1.49 	322.4153 	1.1409
73 	0.719 	3.2442 	574.492 	1.0714 	486.6577 	1.8684
74 	0.7982 	2.5443 	416.3223 	1.1082 	367.5166 	1.7214
75 	0.5105 	1.3214 	166.3333 	0.8968 	172.5308 	0.9204
76 	0.9797 	2.452 	278.9597 	1.5146 	253.1966 	1.3541
77 	0.9637 	1.7586 	302.82 	1.478 	254.6748 	1.8412
78 	0.4718 	5.4841 	296.2045 	0.832 	220.68 	2.4325
79 	0.4385 	4.6036 	293.905 	0.8269 	279.8286 	1.1135
80 	1.0628 	2.1278 	361.6865 	1.6032 	313.9993 	1.6425
81 	0.5115 	6.4762 	435.1744 	0.9542 	363.1717 	1.5543
82 	0.4571 	13.902 	933.4097 	0.8248 	702.5799 	2.2462
83 	0.5557 	11.9348 	524.7854 	0.9231 	488.3914 	1.211
84 	0.8416 	4.0826 	547.1738 	1.3407 	471.3235 	1.5932
85 	0.4172 	2.0294 	269.7719 	0.6921 	248.0776 	1.2539
86 	0.596 	1.9705 	227.4025 	1.0113 	204.853 	1.3184
87 	0.8546 	2.9297 	349.798 	1.3168 	309.2081 	1.4938
88 	0.6216 	1.8179 	312.1245 	1.0563 	259.4875 	1.6944
89 	0.9028 	6.7782 	871.3721 	1.4106 	720.6694 	1.9246
90 	0.4633 	3.5398 	351.1888 	0.7935 	279.9841 	1.9503
91 	0.5677 	8.2555 	549.3677 	0.9757 	393.3332 	3.1176
92 	0.7278 	2.212 	332.658 	1.2182 	311.8364 	1.1841
93 	0.8751 	1.9378 	337.4892 	1.3764 	284.3361 	1.7619
94 	0.4703 	3.5722 	336.6481 	0.8341 	264.5183 	1.9654
95 	0.4591 	4.9114 	366.8996 	0.828 	390.2055 	0.8752
96 	0.5869 	1.6328 	322.4027 	0.9827 	264.8189 	1.7967
97 	0.8255 	4.2814 	405.153 	1.3915 	347.7325 	1.5348
98 	0.5775 	4.3978 	667.108 	0.9833 	521.4385 	2.1235
99 	0.7498 	4.4318 	631.976 	1.2195 	514.2507 	1.9366
100 	1.2938 	4.9532 	384.4357 	1.9058 	445.9625 	0.6674
101 	0.8199 	1.9615 	198.9776 	1.3038 	213.1378 	0.8391
102 	0.5704 	5.7379 	688.4858 	0.9827 	590.4766 	1.5135
103 	0.8088 	4.1446 	286.7576 	1.2819 	332.008 	0.7005
104 	0.5383 	2.7055 	221.9186 	0.9423 	226.6247 	0.9529
105 	0.6909 	2.1968 	212.4167 	1.1726 	215.8555 	0.9621
106 	0.2463 	7.1317 	579.6485 	0.4552 	478.6062 	1.6126
107 	0.4231 	7.6094 	1059.4442 	0.7663 	789.8918 	2.3151
108 	1.3155 	1.9144 	274.1446 	1.9206 	254.0345 	1.3035
109 	0.7016 	1.7365 	197.766 	1.1786 	198.0126 	0.9969
110 	0.9404 	2.3844 	358.0188 	1.4176 	307.6749 	1.7174
111 	0.5891 	2.7488 	373.2 	0.9896 	304.0522 	1.8444
