Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	1.0094 	6.3952 	537.0447 	1.5773 	435.7201 	2.1012
2 	0.8091 	40.3736 	204.203 	1.2866 	213.6174 	0.8895
3 	1.4543 	1.2322 	295.9435 	2.114 	287.461 	1.1011
4 	1.0372 	32.0461 	354.7032 	1.5971 	352.0398 	1.0219
5 	0.9832 	63.4281 	213.0795 	1.5144 	224.9276 	0.8632
6 	0.8774 	91.7065 	562.2562 	1.3198 	567.1038 	0.9749
7 	1.4403 	57.1269 	381.85 	2.1865 	398.2156 	0.8884
8 	0.8821 	0.6276 	550.8591 	1.3855 	443.757 	2.1508
9 	0.4038 	16.5434 	346.466 	0.7256 	323.1137 	1.1792
10 	0.4824 	7.6237 	535.3167 	0.8345 	472.3734 	1.3863
11 	0.6859 	5.7793 	360.4501 	1.1351 	389.105 	0.8327
12 	0.5152 	0.7511 	544.2719 	0.9015 	448.5722 	1.6959
13 	1.0516 	74.412 	392.5894 	1.5777 	399.5745 	0.9493
14 	0.453 	12.1657 	565.3442 	0.8433 	513.2896 	1.2484
15 	0.912 	0.8588 	269.2748 	1.4111 	315.4394 	0.6735
16 	0.6617 	10.1609 	773.4003 	1.0799 	609.9576 	2.2012
17 	1.1494 	0.7964 	367.1896 	1.7267 	361.393 	1.0496
18 	0.693 	56.7922 	288.8484 	1.1748 	272.5539 	1.1595
19 	0.786 	0.8488 	337.8981 	1.2205 	381.0791 	0.7358
20 	0.7654 	73.0347 	377.5149 	1.316 	343.6404 	1.273
21 	0.7487 	1.9238 	417.022 	1.1604 	402.7421 	1.1068
22 	0.7077 	0.8824 	464.5526 	1.1873 	394.5482 	1.595
23 	0.7919 	33.2592 	796.0647 	1.2828 	607.8653 	2.6163
24 	0.928 	122.9512 	444.5672 	1.441 	465.3395 	0.884
25 	0.5352 	3.0446 	1434.164 	0.8998 	1073.8663 	2.6307
26 	0.5878 	16.9535 	1173.7192 	0.9814 	958.5546 	1.8417
27 	0.6914 	30.6417 	687.0341 	1.1862 	590.1942 	1.5104
28 	0.8378 	0.9118 	575.1329 	1.2691 	485.6195 	1.8449
29 	0.8671 	1.2111 	701.7559 	1.3886 	543.1834 	2.5105
30 	0.886 	109.0814 	661.7428 	1.4891 	595.5734 	1.3278
31 	0.4674 	1.6941 	331.5845 	0.768 	265.3353 	2.043
32 	0.9532 	70.9854 	257.4077 	1.482 	285.8924 	0.7633
33 	1.471 	49.5896 	409.4486 	2.379 	387.5915 	1.1626
