Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.9912 	1.8687 	200.2128 	1.4978 	210.865 	0.8641
2 	0.5132 	3.6564 	313.7311 	0.9238 	257.1216 	1.6835
3 	0.5296 	3.1457 	429.5698 	0.8759 	374.3787 	1.4815
4 	0.7429 	1.6895 	329.3295 	1.2269 	272.1925 	1.7852
5 	1.1497 	1.1281 	218.1166 	1.7485 	195.0663 	1.4464
6 	0.7957 	1.1661 	135.2607 	1.2753 	140.2165 	0.9112
7 	0.6487 	3.4189 	251.2253 	1.2209 	213.0125 	1.4804
8 	1.1329 	2.9794 	339.3953 	1.7102 	342.5285 	0.9734
9 	0.6271 	3.6517 	906.2348 	1.0459 	646.6186 	3.5134
10 	0.9076 	4.4501 	813.9183 	1.4023 	656.7762 	2.2085
11 	0.6528 	4.1179 	520.7118 	1.1107 	443.3468 	1.5634
12 	1.4831 	5.8674 	997.0509 	2.1062 	833.4845 	2.2446
13 	1.2249 	2.6086 	387.9849 	1.9533 	342.7139 	1.4554
14 	0.8624 	2.6629 	490.9253 	1.2894 	408.5406 	2.0275
15 	0.6734 	10.3848 	1274.9335 	1.1246 	996.02 	2.1992
16 	0.8046 	3.5622 	343.5266 	1.3081 	311.1756 	1.3239
17 	0.7777 	4.2745 	287.5483 	1.2616 	306.9119 	0.8507
18 	0.5687 	5.756 	699.8819 	0.9874 	583.1971 	1.6478
19 	0.7293 	3.1985 	460.8552 	1.1717 	401.4915 	1.5178
20 	1.2477 	2.4267 	395.1572 	1.9009 	335.1064 	1.7929
21 	1.1081 	5.5027 	564.8955 	1.5903 	625.9026 	0.7374
22 	0.7807 	3.6225 	411.9172 	1.2467 	365.8627 	1.4267
23 	0.6602 	6.9967 	648.0365 	1.0492 	586.3274 	1.3456
24 	0.5209 	6.8061 	467.1614 	0.8815 	404.5443 	1.4874
25 	0.7577 	3.5009 	396.0832 	1.2395 	385.549 	1.0735
26 	1.1364 	5.8489 	501.4917 	1.7885 	424.0989 	1.7339
27 	1.1876 	2.7561 	378.6935 	1.7475 	353.6783 	1.2597
28 	0.9338 	3.3556 	259.6509 	1.4568 	251.072 	1.1014
29 	0.6376 	3.1841 	257.8113 	1.089 	299.4552 	0.7196
30 	0.6636 	2.5608 	425.1547 	1.0347 	352.5007 	1.9102
31 	0.4907 	5.2517 	456.0367 	0.8829 	345.796 	2.1936
32 	0.8804 	4.4825 	640.1008 	1.3709 	522.7502 	2.051
33 	0.8645 	5.6881 	411.4742 	1.3875 	372.0623 	1.3407
34 	0.9382 	3.2258 	423.9277 	1.3728 	381.3363 	1.4648
35 	0.8173 	3.925 	341.8092 	1.252 	296.3538 	1.6208
36 	0.5785 	3.3468 	276.2906 	0.9961 	253.1651 	1.2494
37 	0.6323 	3.2303 	233.0647 	1.0628 	243.7846 	0.898
38 	0.8567 	3.181 	269.345 	1.3835 	273.9118 	0.9574
39 	0.5465 	2.8386 	409.5446 	0.9459 	326.5839 	1.9225
40 	0.9644 	2.236 	313.4622 	1.52 	271.3444 	1.5813
41 	0.8708 	3.717 	284.7024 	1.4328 	290.6413 	0.9495
42 	0.5725 	4.0531 	300.3133 	0.9603 	276.5452 	1.2437
43 	1.4825 	2.7819 	306.874 	2.0831 	296.2647 	1.1363
44 	0.9297 	5.5018 	388.9142 	1.4437 	332.8314 	1.6808
45 	0.8915 	2.6487 	370.5123 	1.4015 	332.4063 	1.394
46 	0.6555 	2.0682 	248.4514 	1.0852 	219.5996 	1.415
47 	1.1732 	5.093 	415.2688 	1.8379 	347.3313 	1.826
48 	0.9622 	2.4715 	366.1949 	1.4786 	310.1228 	1.7808
49 	0.4081 	3.3371 	241.3821 	0.7343 	223.7769 	1.1964
50 	0.4692 	6.3978 	514.1406 	0.7721 	397.2604 	2.3776
51 	0.7243 	1.7825 	425.7792 	1.1809 	328.1891 	2.4557
