Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.535 	1.5461 	513.0083 	0.9469 	508.6554 	1.0199
2 	0.6109 	2.5137 	974.4018 	1.0841 	866.8847 	1.3383
3 	0.6331 	2.3234 	913.7302 	1.1032 	805.3474 	1.3858
4 	0.7845 	2.003 	900.1412 	1.2511 	802.8489 	1.4081
5 	1.767 	1.7516 	718.2935 	2.4868 	679.803 	1.2272
6 	0.7877 	2.4182 	739.4443 	1.2663 	776.1776 	0.8838
7 	0.9485 	1.6928 	532.3013 	1.4772 	573.2824 	0.823
8 	0.77 	1.6016 	735.1864 	1.1924 	661.633 	1.3936
9 	0.4206 	2.4598 	983.5328 	0.7928 	921.6478 	1.1548
10 	0.3169 	3.3417 	1340.8682 	0.6517 	1089.3591 	1.5752
11 	0.3704 	2.7378 	1258.4464 	0.709 	1104.3069 	1.345
12 	0.9051 	1.8374 	797.7276 	1.4061 	741.9946 	1.2439
13 	0.6734 	2.0421 	905.3927 	1.1258 	811.5366 	1.3477
14 	0.7057 	2.0228 	693.2276 	1.1145 	705.4265 	0.9542
15 	1.3038 	2.5656 	861.3366 	2.0378 	822.8228 	1.1417
16 	0.63 	2.2363 	915.1138 	1.0608 	836.8619 	1.2667
17 	0.4009 	2.7589 	1022.3277 	0.7482 	1024.6322 	0.9952
18 	1.0292 	1.4978 	686.8885 	1.6053 	655.6747 	1.145
19 	0.6697 	2.751 	1109.3838 	1.1291 	1024.8492 	1.2304
20 	0.727 	2.1658 	661.6596 	1.1565 	711.2229 	0.8321
21 	1.2824 	1.7967 	693.1284 	1.8747 	710.8015 	0.9253
22 	0.9199 	2.1548 	1164.5091 	1.4717 	982.7073 	1.7135
23 	0.4377 	2.0203 	685.6249 	0.7784 	683.5346 	1.007
24 	0.4989 	2.761 	1097.6903 	0.8926 	1020.2243 	1.1905
25 	0.6789 	2.8247 	1275.7785 	1.1248 	1068.6119 	1.6939
26 	1.1191 	1.8687 	654.164 	1.6968 	623.3482 	1.1606
27 	1.1321 	4.4677 	1386.7241 	1.6615 	1250.408 	1.4461
28 	0.698 	1.7961 	629.7639 	1.1147 	656.9994 	0.8963
29 	0.5062 	2.2073 	830.6673 	0.9098 	799.7067 	1.0917
30 	0.3349 	2.5486 	864.6173 	0.6356 	982.5594 	0.7762
31 	0.6314 	2.4652 	1154.3329 	1.0727 	930.5718 	1.8911
32 	0.5056 	2.2185 	939.503 	0.8722 	813.2839 	1.4699
33 	0.5547 	5.3629 	1745.886 	0.9707 	1607.2 	1.2275
34 	0.5795 	2.3005 	994.9073 	1.041 	1026.5703 	0.933
35 	0.3653 	2.8934 	974.2037 	0.6801 	905.7743 	1.1789
36 	0.3927 	2.5175 	806.8093 	0.6111 	811.7905 	0.983
37 	0.4437 	2.8217 	1050.3903 	0.7975 	948.5434 	1.2797
38 	1.5346 	2.833 	925.7843 	2.1646 	858.1609 	1.3351
39 	0.2669 	5.5476 	1663.0008 	0.4774 	1621.6466 	1.0598
40 	0.4082 	3.4492 	1198.0744 	0.8236 	1119.8972 	1.1486
41 	0.6949 	3.2909 	1737.5155 	1.1557 	1332.8582 	2.4043
42 	1.6972 	2.2704 	1024.5762 	2.4262 	958.4737 	1.2734
43 	0.7205 	1.9542 	661.6992 	1.1403 	781.7377 	0.6699
44 	0.5409 	1.4102 	453.7948 	0.9344 	488.0902 	0.8478
45 	0.8209 	2.426 	918.8557 	1.3085 	837.8602 	1.3098
46 	0.7563 	2.2806 	850.1456 	1.2207 	824.5374 	1.086
47 	1.0187 	2.7549 	1055.3414 	1.7031 	955.6684 	1.3072
48 	1.1177 	1.6514 	553.1317 	1.6606 	586.1185 	0.8457
49 	0.5153 	3.1794 	1110.1044 	0.8912 	1077.9567 	1.0737
50 	0.7135 	8.1212 	2362.2105 	1.1957 	2331.2274 	1.0336
51 	0.8583 	3.2525 	1269.3214 	1.3608 	1195.4862 	1.187
52 	1.082 	3.3515 	1053.7225 	1.6968 	1069.4978 	0.9603
53 	1.7834 	3.4494 	1574.0437 	2.5467 	1502.4995 	1.1788
54 	0.7399 	2.735 	948.8847 	1.1751 	876.3407 	1.2601
55 	0.792 	3.223 	1317.1861 	1.2824 	1165.5156 	1.4308
56 	1.1432 	4.1644 	1746.1161 	1.7279 	1463.1199 	1.9194
57 	0.7588 	3.8656 	1076.0794 	1.25 	1190.1691 	0.7875
58 	0.5152 	5.484 	1796.9446 	0.9127 	1858.9883 	0.9265
59 	0.3924 	8.2138 	2134.2533 	0.7511 	1935.8131 	1.2417
60 	0.5205 	1.5535 	558.0826 	0.9127 	547.4331 	1.0465
61 	0.8458 	6.223 	2854.5818 	1.3336 	2593.9428 	1.3327
62 	1.8989 	3.0043 	1009.4899 	2.665 	1009.8224 	0.9989
63 	0.6702 	3.7808 	1449.4219 	1.1451 	1370.2974 	1.1516
64 	1.1415 	4.1792 	1644.7346 	1.6992 	1628.0773 	1.0318
65 	1.1089 	1.6506 	588.1651 	1.6645 	609.3967 	0.9024
66 	0.7594 	2.8371 	939.9987 	1.2477 	947.3673 	0.9804
67 	0.9979 	3.7382 	1680.5395 	1.5602 	1460.0138 	1.5726
68 	1.0738 	5.834 	2019.7092 	1.874 	1945.9413 	1.0935
69 	1.1825 	5.4674 	2704.1882 	1.7848 	2499.7357 	1.2887
70 	1.4659 	2.838 	1347.8685 	2.1061 	1248.3067 	1.321
71 	1.2383 	4.0919 	1716.8895 	1.8459 	1610.0454 	1.2331
72 	0.708 	4.8714 	2455.731 	1.1789 	2052.883 	1.6969
73 	1.4434 	4.9929 	1696.0924 	2.1695 	1552.2562 	1.3394
74 	0.5216 	7.192 	2042.7192 	0.9448 	1845.8946 	1.2741
75 	0.6534 	4.8447 	1735.4012 	1.0824 	1612.0321 	1.2186
76 	1.0652 	6.7071 	2231.6567 	1.5981 	2161.505 	1.1041
77 	1.0665 	5.7365 	1943.8724 	1.6156 	1929.1267 	1.0228
78 	0.9678 	4.4168 	1497.9215 	1.5067 	1670.4066 	0.7565
79 	0.9833 	4.8751 	2492.1237 	1.5757 	2260.2421 	1.3289
80 	0.713 	9.748 	2998.6323 	1.1801 	2751.2108 	1.2634
81 	0.8096 	5.3902 	2370.123 	1.288 	2199.6805 	1.2401
82 	0.8317 	4.3174 	1582.6628 	1.3135 	1614.7347 	0.9476
83 	0.3581 	11.0985 	3171.1724 	0.6923 	3056.6276 	1.0809
84 	1.1787 	8.7751 	2263.6391 	1.7823 	2541.8638 	0.7337
85 	1.1033 	6.1376 	2373.3942 	1.5581 	2331.5749 	1.0642
86 	0.7986 	9.0496 	3880.1069 	1.2804 	3349.4102 	1.5711
87 	0.9137 	12.7449 	5324.7231 	1.4052 	4869.8989 	1.3232
88 	0.7758 	8.1566 	3558.751 	1.246 	2970.9479 	1.7785
89 	1.3736 	7.4455 	3046.1394 	1.9812 	2785.6361 	1.3867
90 	1.2766 	11.3691 	4011.7261 	1.928 	3841.9608 	1.1432
91 	0.6647 	5.0191 	2029.8787 	1.0979 	2285.6321 	0.758
92 	0.5953 	12.4457 	4513.7264 	1.0258 	3826.6994 	1.569
93 	1.1464 	10.3155 	3015.6023 	1.7192 	2882.229 	1.1531
94 	0.8298 	7.1291 	3210.4653 	1.3137 	2869.3572 	1.4053
95 	0.8709 	9.6681 	4681.91 	1.3663 	4015.9418 	1.6455
96 	0.9364 	11.6616 	3777.7905 	1.4421 	3554.8122 	1.2024
97 	0.5783 	11.3143 	5916.755 	1.0051 	4315.2904 	2.7584
98 	0.9149 	7.4222 	3028.1507 	1.4227 	2876.8974 	1.1627
99 	0.6661 	11.5048 	4753.4388 	1.124 	4073.5189 	1.5411
100 	0.9119 	5.1962 	2428.2618 	1.4371 	2925.4502 	0.6409
101 	0.7447 	12.5078 	4869.8145 	1.2615 	4193.2052 	1.5132
102 	0.9796 	7.0062 	4306.9507 	1.5308 	3508.5205 	2.0612
