Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.8896 	0.9619 	205.1354 	1.3801 	187.2061 	1.3262
2 	0.5112 	3.7975 	324.4267 	0.9136 	291.1344 	1.3037
3 	0.9364 	0.6621 	243.0253 	1.4803 	242.48 	1.0061
4 	0.6319 	55.612 	262.5347 	1.06 	269.944 	0.9347
5 	0.717 	4.1273 	270.6306 	1.1732 	252.5142 	1.208
6 	1.3043 	23.1433 	226.5098 	1.8677 	229.8671 	0.9532
7 	1.2286 	19.9189 	209.0019 	1.819 	212.2703 	0.954
8 	0.7143 	26.3483 	222.7846 	1.1478 	236.2097 	0.8624
9 	1.435 	25.487 	212.8091 	2.0885 	229.0064 	0.8044
10 	0.9924 	12.45 	202.2798 	1.549 	199.4956 	1.0398
11 	0.4997 	1.1496 	303.6141 	0.8925 	291.0967 	1.1034
12 	0.9428 	1.1965 	272.0909 	1.4463 	307.712 	0.7267
13 	0.6039 	41.3647 	253.0839 	1.0705 	221.5744 	1.3999
14 	1.2257 	5.3735 	369.0371 	1.7697 	358.1055 	1.1066
15 	0.5915 	0.9855 	293.2456 	0.9594 	282.6125 	1.1044
16 	0.606 	8.318 	519.9611 	1.022 	450.455 	1.489
17 	1.1505 	1.0978 	301.5382 	1.7169 	330.5919 	0.774
18 	0.523 	1.722 	533.5114 	0.9102 	427.0021 	1.8844
19 	0.9475 	1.0021 	289.7669 	1.4792 	285.6685 	1.041
20 	0.6514 	0.9317 	223.4964 	1.0906 	218.3912 	1.0601
21 	0.3468 	2.1289 	626.1305 	0.5741 	575.9907 	1.2535
22 	1.1685 	0.8731 	293.1008 	1.7544 	251.8028 	1.7298
23 	1.0773 	0.6844 	263.711 	1.6222 	230.5608 	1.598
24 	0.4122 	5.6804 	343.433 	0.7768 	304.4984 	1.3185
25 	0.9788 	17.3288 	215.3323 	1.5166 	220.2413 	0.9396
26 	0.7397 	6.3928 	519.8716 	1.1938 	435.3273 	1.7468
27 	1.0251 	1.9904 	340.5425 	1.5359 	300.9581 	1.5372
28 	1.1645 	39.5463 	493.2219 	1.7393 	420.4695 	1.8062
29 	0.7824 	1.0024 	213.1201 	1.2607 	228.0695 	0.844
30 	0.8622 	57.3052 	210.8399 	1.3635 	234.9721 	0.7626
31 	0.6823 	2.6423 	317.3028 	1.1179 	334.148 	0.8801
32 	0.992 	12.5732 	372.0219 	1.5426 	386.9835 	0.8987
33 	0.7428 	0.9379 	406.4308 	1.1812 	344.9677 	1.6877
34 	0.668 	84.5971 	221.1728 	1.13 	244.651 	0.7939
35 	0.4854 	11.4111 	306.37 	0.8234 	301.3035 	1.042
36 	0.5598 	105.1363 	416.7978 	0.917 	398.8727 	1.1241
37 	0.7193 	3.5707 	379.5236 	1.1386 	337.7393 	1.4265
38 	0.752 	1.1683 	435.1429 	1.2188 	376.7462 	1.5394
39 	0.926 	0.8997 	364.5362 	1.4482 	311.5286 	1.6757
40 	0.4937 	100.4938 	390.5985 	0.8073 	337.2079 	1.543
41 	0.4858 	7.857 	329.6656 	0.8677 	298.1706 	1.2772
42 	1.283 	7.9262 	699.9333 	1.8928 	634.9193 	1.4051
43 	0.4328 	2.0968 	379.2412 	0.7866 	404.2564 	0.8721
