Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.9273 	63.9582 	861.6471 	1.4477 	710.6656 	1.9511
2 	0.8617 	3.8155 	358.3795 	1.3673 	391.1091 	0.802
3 	1.3898 	0.2763 	890.0091 	1.9996 	721.0813 	2.6481
4 	1.0691 	0.9802 	763.5875 	1.6529 	629.4121 	1.9902
5 	0.6598 	9.1321 	774.8239 	1.0715 	618.5274 	2.1054
6 	0.9183 	0.3759 	587.9842 	1.4273 	507.4768 	1.6232
7 	0.8709 	39.4272 	465.774 	1.412 	452.1639 	1.0825
8 	0.4513 	8.3147 	933.7526 	0.8947 	727.1657 	1.8063
9 	1.0472 	1.8068 	1325.8262 	1.5897 	1095.2658 	2.039
10 	1.2485 	4.0876 	343.6206 	1.8257 	394.3575 	0.6817
11 	0.6873 	58.3603 	946.4618 	1.1712 	776.6667 	1.7673
12 	1.3211 	0.2747 	694.5602 	1.9331 	580.9618 	2.0688
13 	0.543 	15.714 	560.8561 	0.9705 	473.7054 	1.545
14 	0.85 	0.2093 	281.1818 	1.3287 	322.488 	0.7103
15 	0.3245 	0.9846 	1191.7305 	0.6576 	1054.138 	1.2953
16 	1.2065 	0.1559 	266.6276 	1.7816 	306.5654 	0.683
17 	0.3347 	17.0807 	1067.0045 	0.6906 	736.4663 	2.5072
18 	0.5569 	18.0041 	523.3242 	1.0142 	459.2453 	1.3727
19 	0.3054 	1.2025 	1659.9176 	0.6158 	1326.9124 	1.6613
20 	0.6838 	0.8983 	1159.6152 	1.1312 	894.6255 	2.3685
21 	1.1553 	0.2859 	741.18 	1.7564 	616.7142 	1.9633
22 	0.4371 	1.8014 	657.47 	0.8515 	609.3697 	1.1769
23 	0.7424 	0.5456 	839.7109 	1.2093 	727.8929 	1.5265
24 	0.7834 	1.0144 	1433.7367 	1.2478 	1175.6566 	1.9367
25 	0.6884 	0.32 	927.9781 	1.1446 	715.6651 	2.3472
26 	0.6663 	33.3032 	449.9057 	1.1217 	400.6778 	1.369
27 	0.5955 	35.4187 	1105.1957 	1.0425 	1019.9215 	1.2194
28 	0.3413 	4.8963 	1461.7475 	0.6797 	1041.2655 	2.3681
29 	0.9209 	0.3833 	1138.9139 	1.457 	865.0727 	2.8855
30 	0.7499 	1.2895 	717.6608 	1.2143 	615.7456 	1.5906
31 	1.7439 	46.7822 	1532.9281 	2.5687 	1254.9191 	2.298
32 	0.8088 	0.4227 	1692.3648 	1.2776 	1242.4728 	3.6301
33 	0.7769 	35.4736 	930.4802 	1.2441 	786.6866 	1.6992
34 	0.3866 	32.6758 	1267.4774 	0.6851 	1060.5253 	1.5994
35 	0.5646 	41.1887 	448.011 	0.9899 	385.7023 	1.4786
36 	0.4487 	88.5586 	1180.5045 	0.7797 	1137.7005 	1.0934
37 	0.6208 	0.3842 	1293.6366 	1.0299 	974.5806 	2.6372
38 	0.6264 	80.7618 	616.2621 	1.1067 	501.3542 	1.7534
39 	0.895 	0.5714 	1495.4795 	1.377 	1206.5504 	2.2319
40 	1.1424 	16.9591 	1118.4295 	1.7867 	906.9329 	2.1025
41 	1.2579 	8.4629 	1038.2252 	1.9434 	846.0594 	2.1042
42 	0.6599 	86.8898 	1154.8359 	1.1274 	1020.1712 	1.3913
43 	0.8276 	3.4255 	1029.9304 	1.3043 	794.8074 	2.6641
44 	0.4785 	5.8744 	1206.115 	0.8635 	918.0743 	2.1536
45 	0.7365 	30.6772 	575.2697 	1.2139 	570.6874 	1.0207
46 	0.3733 	39.0349 	995.4916 	0.7921 	667.9251 	2.6476
47 	1.0697 	0.3584 	342.9425 	1.6221 	302.001 	1.5398
48 	0.3232 	1.0161 	2096.0785 	0.6583 	1589.9621 	1.9026
49 	0.5105 	17.0077 	568.17 	0.9337 	466.546 	1.6519
50 	0.723 	0.8427 	695.6682 	1.2018 	570.948 	1.8181
51 	0.77 	0.5303 	340.8258 	1.2539 	332.2895 	1.0694
52 	0.7926 	0.495 	1168.7477 	1.2657 	862.5268 	3.3444
53 	0.6125 	0.2269 	1184.6797 	1.0791 	847.2803 	2.9299
54 	0.4103 	71 	678.8215 	0.7976 	598.8238 	1.3204
55 	0.3896 	1.2927 	1593.5993 	0.7567 	1152.5714 	2.3284
