Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.7929 	0.7695 	219.1874 	1.2453 	247.977 	0.7345
2 	0.7038 	74.4456 	615.0504 	1.1674 	549.3877 	1.3676
3 	1.024 	0.8498 	344.822 	1.5665 	300.0222 	1.6003
4 	0.7268 	9.804 	381.6372 	1.1962 	320.135 	1.6968
5 	0.9489 	3.7083 	224.5975 	1.4697 	220.29 	1.0572
6 	0.9118 	0.6739 	369.8132 	1.3788 	308.1845 	1.9685
7 	0.7363 	2.5559 	227.5264 	1.2072 	267.599 	0.6889
8 	1.241 	3.1985 	400.3244 	2.0218 	326.7646 	1.9077
9 	0.7349 	44.9659 	449.9495 	1.2372 	381.5529 	1.5985
10 	0.5544 	1.1951 	301.5463 	0.9444 	338.9905 	0.7689
11 	0.645 	0.8334 	392.2838 	1.0812 	328.9055 	1.6679
12 	0.877 	0.8149 	431.833 	1.3258 	357.7263 	2.0278
13 	0.5754 	12.2044 	555.1346 	0.9991 	474.8457 	1.5175
14 	0.9818 	0.8394 	491.442 	1.5245 	397.8153 	2.1511
15 	0.5209 	30.0446 	583.7019 	0.8576 	470.5294 	1.9758
16 	0.8012 	1.4523 	418.8434 	1.2938 	363.8281 	1.5267
17 	0.8762 	0.8136 	271.4718 	1.3596 	268.7453 	1.0291
18 	0.6101 	0.7756 	285.8606 	1.042 	320.1577 	0.7755
19 	0.7677 	1.3247 	616.0204 	1.2321 	479.7678 	2.4202
20 	0.9068 	0.9475 	497.782 	1.4124 	437.0854 	1.5165
21 	1.7207 	2.258 	644.2888 	2.4065 	533.5958 	2.5183
22 	0.7922 	0.9985 	758.7874 	1.2957 	570.3236 	2.7715
23 	0.9714 	1.6313 	871.0801 	1.6055 	695.1183 	2.0468
24 	0.4647 	0.9409 	265.1653 	0.8596 	269.0978 	0.9687
25 	0.8431 	0.853 	254.3109 	1.3108 	262.0275 	0.9216
26 	1.2636 	19.1197 	315.1863 	1.9878 	319.5027 	0.9638
27 	1.1057 	0.8148 	458.8314 	1.6721 	382.7422 	1.9591
28 	0.9384 	0.9765 	451.904 	1.4592 	403.972 	1.4228
29 	0.848 	0.7561 	232.606 	1.3341 	241.4116 	0.9059
30 	0.631 	49.6299 	461.0862 	1.2016 	331.4078 	2.4523
31 	0.4409 	98.9678 	427.7253 	0.8554 	316.8959 	2.1492
32 	0.9913 	1.1019 	712.0427 	1.5135 	573.3225 	2.2973
33 	0.5875 	51.3766 	452.4579 	1.0629 	340.8574 	2.2291
34 	0.7584 	17.7479 	209.9382 	1.2388 	224.4559 	0.8487
35 	0.8081 	0.888 	454.8406 	1.2798 	372.0213 	1.9761
36 	0.9967 	1.0079 	323.1659 	1.5328 	319.001 	1.0383
37 	0.8686 	34.585 	326.9444 	1.3563 	301.0366 	1.2826
38 	0.9051 	18.9994 	484.9963 	1.4818 	414.5558 	1.5953
39 	0.9015 	10.4231 	407.2412 	1.4178 	377.2601 	1.2534
40 	1.0972 	3.2058 	516.437 	1.6357 	429.1447 	2.0552
41 	1.3314 	79.565 	488.8544 	1.9655 	452.265 	1.3021
42 	0.848 	0.8054 	395.6522 	1.3384 	323.5025 	1.9906
43 	0.4619 	110.5097 	448.3719 	0.8278 	386.9494 	1.4491
44 	0.7424 	1.5006 	455.6722 	1.2268 	371.3595 	1.8819
45 	1 	0.8121 	304.4351 	1.5382 	286.0674 	1.2084
46 	0.6224 	32.1689 	271.9712 	1.0484 	258.9656 	1.1334
47 	1.0225 	1.8499 	621.2966 	1.5488 	500.8847 	2.3271
48 	0.8566 	21.2674 	729.6532 	1.3557 	573.3073 	2.3923
49 	1.0847 	1.136 	188.9587 	1.6446 	210.7423 	0.747
50 	0.5837 	29.5018 	222.039 	1.0091 	240.5486 	0.8349
51 	0.8205 	8.5602 	471.0381 	1.3025 	392.0475 	1.8287
52 	0.3248 	45.8537 	359.1707 	0.6708 	349.4803 	1.0552
53 	0.8121 	15.7185 	240.7131 	1.2658 	267.8667 	0.7606
54 	1.1031 	1.7489 	238.0302 	1.6673 	246.6389 	0.9034
55 	0.5234 	57.2989 	218.9127 	0.9271 	209.606 	1.1082
56 	1.0308 	19.5788 	347.4311 	1.5802 	315.466 	1.3599
57 	0.6439 	34.2492 	833.9484 	1.0992 	652.3158 	2.1089
58 	0.4014 	74.3177 	233.1306 	0.7681 	230.2058 	1.027
59 	0.7463 	3.5958 	333.3918 	1.2368 	289.7734 	1.4924
60 	1.4377 	0.9756 	308.1324 	2.0931 	299.261 	1.1013
61 	0.8798 	0.9482 	493.8271 	1.3847 	433.1192 	1.5086
62 	0.7941 	1.8802 	780.496 	1.2715 	672.4235 	1.5842
63 	1.8011 	4.7155 	257.1325 	2.7447 	243.74 	1.1786
64 	1.1487 	1.3272 	239.5333 	1.7275 	255.4595 	0.8344
65 	0.8845 	1.0642 	313.0881 	1.3754 	281.4304 	1.3953
66 	0.7348 	0.7153 	201.0608 	1.1927 	216.0593 	0.8373
67 	0.5638 	1.5726 	225.266 	0.9985 	246.2471 	0.8238
68 	0.6997 	2.8266 	183.9879 	1.1532 	193.7137 	0.8815
