Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.7188 	4.1176 	472.1777 	1.181 	358.9857 	2.5805
2 	0.765 	1.4936 	166.4699 	1.2807 	155.8723 	1.1878
3 	0.5985 	1.4995 	165.176 	1.036 	160.384 	1.0738
4 	0.5913 	1.871 	197.9851 	1.053 	174.6451 	1.3677
5 	0.7076 	0.965 	130.3992 	1.1215 	132.5297 	0.9576
6 	0.7114 	0.9817 	126.6412 	1.122 	128.1865 	0.9677
7 	0.7839 	1.019 	130.8372 	1.2657 	133.8485 	0.943
8 	0.9941 	0.8312 	133.155 	1.4762 	131.2193 	1.0466
9 	0.3767 	1.5832 	207.9303 	0.68 	188.8187 	1.2596
10 	0.6395 	0.9189 	140.8395 	1.0195 	138.1362 	1.0543
11 	0.8064 	1.7867 	164.9401 	1.2925 	173.7737 	0.8753
12 	0.3321 	1.9752 	241.1356 	0.6577 	206.5761 	1.4076
13 	0.6415 	1.0702 	159.9017 	1.0385 	152.3525 	1.1409
14 	0.6833 	1.1386 	150.583 	1.2541 	135.7716 	1.2757
15 	0.452 	2.6373 	268.8229 	0.7839 	265.2543 	1.0324
16 	0.7548 	1.7003 	197.1461 	1.1909 	192.0559 	1.0759
17 	0.8415 	1.0379 	190.6348 	1.3453 	169.4518 	1.4219
18 	0.7888 	2.5389 	359.0304 	1.2581 	294.5024 	1.9299
19 	0.7286 	1.5419 	186.8222 	1.2228 	167.9769 	1.3326
20 	0.603 	2.8195 	266.2032 	1.0348 	238.8399 	1.3268
21 	0.5883 	2.5834 	228.9864 	1.0245 	210.516 	1.2337
22 	0.6326 	2.1671 	286.4045 	1.0623 	241.2332 	1.6391
23 	0.7207 	1.5029 	172.3538 	1.233 	175.0503 	0.9637
24 	0.8185 	2.6911 	523.0803 	1.3226 	409.5032 	2.3237
25 	0.532 	2.9586 	291.5297 	0.9357 	268.7913 	1.2207
26 	0.5941 	3.0897 	254.4071 	1.1275 	235.711 	1.1839
27 	0.3114 	5.3554 	351.223 	0.6217 	261.7925 	2.0414
28 	0.5244 	2.0354 	231.2092 	0.9634 	183.7805 	1.8187
29 	1.2056 	1.2703 	238.8395 	1.7784 	211.409 	1.5542
30 	1.2306 	6.8664 	604.8952 	1.8184 	491.4229 	2.3828
31 	0.5647 	3.499 	269.5544 	0.9874 	263.9985 	1.0506
32 	0.7948 	4.9967 	510.0349 	1.2414 	421.8786 	1.9247
33 	0.7945 	1.6698 	318.9709 	1.2724 	263.9996 	1.848
34 	0.3738 	2.6935 	270.7016 	0.7113 	251.7597 	1.173
35 	0.4688 	1.3887 	188.5329 	0.8627 	168.026 	1.3126
36 	0.6956 	1.5366 	166.2276 	1.1423 	153.9419 	1.2331
37 	0.8174 	1.8902 	324.2736 	1.2801 	276.1333 	1.697
38 	0.7232 	1.6482 	208.5023 	1.1898 	193.8299 	1.2187
39 	0.599 	1.3775 	201.9261 	1.0184 	179.8598 	1.3611
40 	0.7165 	1.1811 	137.3268 	1.2407 	132.2832 	1.0952
41 	1.1744 	3.3793 	237.8688 	1.8247 	216.1845 	1.3437
42 	1.0239 	1.635 	222.9345 	1.5316 	210.8871 	1.1948
43 	0.6322 	2.2631 	204.0249 	1.1236 	182.5613 	1.3167
44 	0.8155 	1.8507 	181.0967 	1.3082 	197.9036 	0.8023
45 	0.9697 	2.5953 	288.1131 	1.4505 	276.143 	1.1433
46 	0.5626 	1.8959 	214.8131 	0.9422 	188.5195 	1.4364
47 	1.2182 	4.2332 	400.0762 	1.7776 	344.9843 	1.7781
48 	0.944 	1.333 	221.5797 	1.4932 	193.9143 	1.514
49 	0.4716 	2.3728 	202.3603 	0.8644 	177.27 	1.3752
50 	0.8911 	1.0725 	213.741 	1.3945 	190.0352 	1.4434
51 	0.3779 	4.4821 	478.1131 	0.6607 	395.5673 	1.6762
52 	0.9677 	1.3113 	163.7339 	1.4987 	161.0211 	1.0491
53 	0.5442 	1.2841 	159.0612 	0.9849 	159.1632 	0.9986
54 	1.0895 	1.3708 	179.2387 	1.7295 	167.7301 	1.2099
55 	0.3683 	1.4423 	184.0837 	0.7018 	174.1059 	1.1287
56 	0.9996 	1.9628 	322.6557 	1.5591 	271.4513 	1.7927
57 	0.6198 	10.7307 	178.0572 	1.072 	171.0093 	1.1035
58 	0.6306 	4.947 	292.5134 	1.057 	279.3354 	1.1257
59 	0.6979 	1.1684 	153.2271 	1.1744 	144.3714 	1.1661
60 	0.8964 	1.2931 	198.3117 	1.3592 	183.2133 	1.288
61 	0.5273 	1.1366 	139.1 	0.9692 	134.7084 	1.0744
62 	0.5509 	4.4505 	292.9726 	0.9773 	221.9202 	2.2514
63 	0.5368 	3.2135 	253.2351 	0.9492 	226.3549 	1.3233
64 	1.3188 	1.5083 	160.4319 	2.0329 	154.3072 	1.1219
65 	0.6389 	1.5025 	239.5749 	1.0578 	221.8411 	1.2299
66 	0.9239 	0.8935 	139.6765 	1.4516 	138.4261 	1.0252
67 	0.9845 	2.5666 	216.2122 	1.5678 	202.7461 	1.201
68 	0.5717 	1.0514 	157.0877 	1.0047 	153.0537 	1.0634
69 	0.4903 	2.0155 	274.8464 	0.8057 	245.5531 	1.3742
70 	1.2913 	1.2622 	153.4851 	1.9927 	148.1787 	1.1089
71 	0.4947 	1.9169 	242.0007 	0.8658 	210.4111 	1.4379
72 	0.5739 	1.2267 	160.8548 	0.9906 	149.0016 	1.2124
73 	0.7875 	1.1098 	162.1098 	1.2828 	151.8428 	1.1962
74 	0.6202 	1.2766 	190.4778 	1.0203 	183.3245 	1.1059
75 	0.5042 	1.2664 	145.5552 	0.9278 	137.0479 	1.1468
76 	1.1936 	1.2162 	193.1199 	1.8012 	179.9149 	1.2542
77 	0.6852 	1.1913 	172.9647 	1.1364 	168.2353 	1.074
78 	0.8631 	3.8095 	291.789 	1.4025 	233.7957 	2.0694
79 	0.2559 	1.3219 	132.3668 	0.5751 	128.513 	1.0554
80 	0.9574 	1.3164 	215.44 	1.5114 	188.3506 	1.5221
