Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.5087 	0.9181 	107.6557 	0.9657 	107.4187 	1.0047
2 	1.0924 	9.1234 	591.3887 	1.7196 	456.3624 	2.674
3 	0.4455 	1.4221 	190.9798 	0.8197 	173.2064 	1.2561
4 	0.3906 	1.0656 	161.8853 	0.7581 	152.3977 	1.1375
5 	0.6624 	2.4745 	299.5882 	1.1637 	238.1497 	1.9087
6 	0.6389 	7.5024 	557.3156 	1.1085 	438.513 	2.0128
7 	1.344 	2.3374 	273.7803 	2.0456 	238.3568 	1.6057
8 	0.8604 	1.1476 	135.8598 	1.3753 	140.5337 	0.9159
9 	0.4134 	1.1976 	130.9333 	0.9284 	127.9919 	1.0422
10 	0.3614 	0.9156 	151.1903 	0.7132 	146.0846 	1.0735
11 	0.6436 	2.3991 	191.3981 	1.0322 	190.2065 	1.0168
12 	0.6349 	2.1858 	193.1166 	1.0816 	170.237 	1.4022
13 	0.934 	2.3363 	183.7795 	1.4902 	174.3824 	1.1587
14 	0.7044 	4.5699 	419.343 	1.2574 	328.4356 	1.9722
15 	0.3886 	2.7774 	215.2429 	0.738 	186.8688 	1.3859
16 	0.3061 	6.2077 	357.4686 	0.619 	266.3485 	2.0171
17 	1.0388 	2.5922 	184.9402 	1.6155 	180.6463 	1.0696
18 	0.7132 	0.7649 	115.5167 	1.1382 	117.5911 	0.9541
19 	0.7445 	3.3033 	277.6861 	1.2131 	255.3781 	1.2626
20 	0.7081 	0.8406 	139.4165 	1.2046 	133.7334 	1.1098
21 	0.6565 	2.0516 	206.8033 	1.0681 	186.4767 	1.3423
22 	0.4715 	4.1369 	255.7646 	0.8789 	204.8553 	1.7524
23 	0.7192 	1.2578 	181.1836 	1.1773 	164.4297 	1.3117
24 	0.3645 	3.3248 	252.2298 	0.707 	202.1756 	1.6937
25 	0.9238 	5.9498 	511.3453 	1.4685 	425.4045 	1.8285
26 	0.3158 	1.134 	133.1753 	0.6775 	128.4057 	1.0719
27 	0.7509 	2.4009 	180.7173 	1.2196 	189.5721 	0.8869
28 	0.4314 	3.4741 	267.4484 	0.7873 	233.6012 	1.3888
29 	0.6225 	2.358 	173.232 	1.0457 	188.0115 	0.8259
30 	1.1452 	2.0359 	171.6301 	1.7063 	173.9132 	0.9611
31 	0.3398 	4.4023 	297.651 	0.6675 	234.4091 	1.7631
32 	0.6136 	2.0927 	299.177 	0.9992 	249.279 	1.7611
33 	0.56 	1.0713 	132.7483 	1.0219 	131.7967 	1.0161
34 	0.33 	4.728 	326.265 	0.6567 	250.0322 	1.8855
35 	1.4991 	3.0688 	267.161 	2.2273 	244.5575 	1.3491
36 	0.8834 	2.4583 	259.9587 	1.4207 	223.1611 	1.5981
37 	0.5101 	1.3816 	201.4286 	0.959 	183.5648 	1.2337
38 	0.562 	0.6837 	108.8925 	1.0995 	108.8023 	1.0017
39 	0.7527 	1.44 	150.7842 	1.2355 	151.4356 	0.9891
40 	1.121 	2.3644 	165.4544 	1.7424 	154.9383 	1.2169
