Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	1.3512 	0.8104 	299.5121 	1.9524 	261.3165 	1.707
2 	1.1171 	1.1266 	359.366 	1.6973 	318.4048 	1.5002
3 	1.252 	3.1737 	160.9181 	1.89 	168.2972 	0.8804
4 	0.9982 	3.0358 	335.3936 	1.5151 	345.2191 	0.9209
5 	0.8967 	11.1943 	382.6313 	1.4035 	329.8212 	1.6187
6 	1.0839 	1.0002 	323.1564 	1.6416 	274.2019 	1.8047
7 	0.623 	1.8877 	380.8656 	1.0513 	317.3363 	1.6934
8 	0.4249 	1.8279 	242.8912 	0.8227 	248.7751 	0.9523
9 	1.0063 	0.878 	358.8535 	1.5757 	307.4212 	1.6573
10 	0.9914 	1.5268 	209.4008 	1.5284 	213.3478 	0.9491
11 	1.4992 	25.4353 	614.5597 	2.2201 	538.0276 	1.6222
12 	0.8746 	1.6607 	598.9676 	1.3746 	499.3721 	1.842
13 	0.7827 	1.7369 	711.3359 	1.2926 	568.492 	2.0366
14 	0.9136 	11.953 	283.6821 	1.4648 	264.5101 	1.2189
15 	0.8813 	0.8523 	330.9677 	1.407 	281.319 	1.6708
16 	1.2741 	4.2185 	364.1719 	1.8625 	323.5053 	1.5467
17 	0.9491 	0.7884 	301.9602 	1.4647 	278.7352 	1.2796
18 	0.7982 	136.2034 	509.7953 	1.1702 	527.5974 	0.901
19 	0.6461 	123.7959 	440.6256 	1.0145 	467.8704 	0.8545
20 	0.7986 	15.0444 	630.3162 	1.2888 	538.5415 	1.6202
21 	0.7957 	2.9855 	352.4602 	1.2796 	303.7193 	1.5764
22 	0.8866 	2.7363 	206.1542 	1.3814 	227.0329 	0.7796
23 	0.7021 	4.1967 	487.6821 	1.16 	468.9957 	1.1075
24 	0.38 	79.1522 	420.0554 	0.744 	317.1447 	2.0029
25 	0.859 	11.5258 	249.7015 	1.3674 	272.2714 	0.8044
26 	0.9763 	68.5935 	192.9026 	1.5282 	205.6767 	0.845
27 	0.6985 	87.3963 	314.0278 	1.1467 	348.9816 	0.7784
28 	1.0563 	28.7339 	296.1532 	1.5883 	300.3478 	0.9594
29 	0.6701 	17.1229 	243.7715 	1.1237 	242.9645 	1.0083
30 	1.0341 	3.4751 	684.1732 	1.5561 	554.533 	2.298
31 	0.7614 	75.4064 	398.6047 	1.2218 	323.4652 	2.001
32 	0.934 	2.0194 	410.9126 	1.4525 	342.0411 	1.8852
33 	0.4419 	7.0059 	446.6897 	0.821 	395.7822 	1.3278
34 	1.3685 	1.2581 	330.2873 	1.9796 	301.5968 	1.3916
35 	0.3188 	2.9598 	909.0562 	0.627 	620.1303 	2.8299
36 	0.9396 	29.071 	472.6218 	1.4558 	430.3593 	1.3372
37 	1.0001 	0.9834 	195.0572 	1.5523 	197.2306 	0.9696
38 	1.0459 	8.4349 	188.6421 	1.5704 	196.8201 	0.8851
39 	0.8397 	2.9563 	238.6572 	1.3389 	229.7253 	1.1116
40 	0.8534 	56.8998 	249.666 	1.3699 	231.7663 	1.2348
41 	0.7447 	103.2837 	246.9016 	1.2511 	263.4825 	0.8577
42 	0.9526 	0.861 	229.6486 	1.4989 	238.6302 	0.9031
43 	1.3734 	1.3092 	250.4406 	1.9702 	282.9533 	0.7
44 	0.7765 	28.5155 	280.2218 	1.2843 	259.9142 	1.2244
45 	1.1354 	1.0394 	250.5809 	1.7314 	241.3423 	1.12
46 	0.7686 	1.0045 	240.1831 	1.2351 	266.5422 	0.7749
47 	0.5113 	25.9737 	454.027 	0.9244 	423.7254 	1.1756
48 	0.4108 	39.4012 	358.7763 	0.797 	363.7815 	0.972
49 	1.2754 	1.2043 	200.2181 	1.8852 	227.0312 	0.7072
50 	0.8574 	34.1787 	276.7245 	1.3917 	268.8726 	1.0798
51 	0.971 	31.7298 	234.3799 	1.5027 	228.2484 	1.0798
52 	1.063 	18.5446 	686.6078 	1.602 	601.26 	1.586
53 	0.7419 	2.7516 	507.5606 	1.1918 	414.3928 	1.9462
54 	1.0398 	1.1097 	607.6204 	1.5824 	500.3553 	2.0613
55 	0.622 	7.1689 	646.2744 	1.056 	486.8923 	2.5001
56 	0.4277 	41.8671 	332.0368 	0.814 	339.8338 	0.9528
57 	1.3721 	1.265 	322.2417 	2.0105 	307.9577 	1.1622
58 	1.1806 	7.2435 	381.4262 	1.7056 	329.8512 	1.7833
59 	0.3145 	111.0455 	492.9838 	0.5849 	453.4152 	1.2101
60 	0.8124 	69.3738 	198.3373 	1.3584 	219.1516 	0.793
61 	1.0228 	75.1018 	225.3158 	1.5632 	246.991 	0.7823
62 	1.0225 	1.4897 	393.2715 	1.5714 	333.0094 	1.7814
63 	1.5654 	1.5039 	713.3133 	2.2702 	608.8566 	1.8929
64 	0.5391 	10.0815 	361.7792 	0.9601 	289.442 	1.8381
65 	0.769 	29.1741 	182.1434 	1.2377 	198.8192 	0.8053
66 	1.2623 	2.1457 	490.0515 	1.8677 	400.9717 	2.2765
67 	0.6432 	56.1797 	257.1267 	1.0971 	260.9043 	0.9657
