Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.6532 	1.1434 	335.2673 	1.0299 	364.1166 	0.8096
2 	0.7972 	6.547 	275.5538 	1.2342 	318.3737 	0.695
3 	0.9329 	1.7665 	342.5651 	1.469 	341.5318 	1.0083
4 	0.4314 	74.4273 	342.4917 	0.8047 	290.9072 	1.4808
5 	0.561 	1.3178 	790.3037 	0.969 	612.4065 	2.1487
6 	1.0189 	0.6229 	319.8789 	1.5527 	301.2628 	1.2038
7 	1.1341 	4.4303 	459.5985 	1.8046 	430.8774 	1.2022
8 	0.7536 	12.9315 	347.4449 	1.218 	321.2507 	1.2465
9 	1.1942 	0.7229 	476.6898 	1.7563 	405.0614 	1.8851
10 	0.7459 	20.0771 	399.7101 	1.245 	335.8698 	1.6622
11 	0.6319 	0.7867 	257.3805 	0.9936 	270.4669 	0.8774
12 	1.1811 	2.8733 	318.9721 	1.7477 	369.4118 	0.6722
13 	0.3574 	65.2447 	523.9748 	0.5979 	496.6966 	1.1487
14 	1.2701 	15.9673 	455.5589 	2.0921 	393.6199 	1.5291
15 	1.0553 	15.6088 	998.1488 	1.709 	869.281 	1.5096
16 	0.6527 	5.5367 	351.8304 	1.033 	389.6298 	0.7741
17 	1.1891 	0.751 	281.8894 	1.7534 	316.0378 	0.7265
18 	0.8749 	6.1223 	254.4127 	1.4022 	286.2066 	0.7506
19 	0.5037 	38.7658 	532.7833 	0.9008 	425.1786 	1.8454
20 	0.5985 	77.016 	467.0428 	1.0304 	460.0787 	1.0369
21 	1.0766 	0.7944 	243.6761 	1.6376 	254.3259 	0.8869
22 	0.6826 	2.7061 	334.5638 	1.1232 	376.904 	0.7561
23 	0.2871 	32.6036 	352.5325 	0.5778 	326.0599 	1.1754
24 	0.358 	1.5614 	446.8051 	0.6997 	438.2472 	1.0408
25 	0.7848 	10.0014 	488.9755 	1.2487 	410.1242 	1.7671
26 	1.0845 	1.5371 	220.7327 	1.6433 	244.3172 	0.7609
27 	0.6399 	19.1606 	492.0848 	1.0894 	461.5503 	1.177
28 	0.4693 	72.9612 	348.9457 	0.8664 	305.0179 	1.3786
29 	0.6041 	9.7419 	350.959 	1.0745 	347.6333 	1.0221
30 	0.5099 	26.6501 	444.8 	0.9222 	408.5808 	1.2227
31 	0.5316 	33.0796 	549.6287 	0.915 	577.4427 	0.8923
32 	0.948 	41.9919 	544.3422 	1.7042 	515.1426 	1.1375
33 	0.6655 	5.5192 	456.8686 	1.1169 	403.9473 	1.4018
34 	0.7949 	0.7133 	271.9517 	1.2767 	296.3513 	0.8079
35 	0.7196 	8.0668 	268.4931 	1.1688 	303.5292 	0.7465
36 	0.4119 	40.0572 	682.917 	0.7593 	635.5199 	1.1788
37 	0.6034 	10.1595 	819.4037 	1.0294 	637.4576 	2.1578
38 	0.5674 	12.66 	483.4056 	1.0234 	424.7926 	1.3738
39 	0.727 	3.5237 	253.1757 	1.1857 	295.467 	0.6984
40 	0.5659 	33.3406 	295.3124 	0.9804 	293.2193 	1.017
41 	0.6289 	11.2488 	426.0229 	1.0888 	407.9443 	1.1117
42 	0.6579 	8.1702 	224.9799 	1.084 	264.7836 	0.6896
43 	0.6637 	0.7213 	240.7854 	1.1064 	259.2521 	0.8392
44 	0.4384 	61.0839 	529.7527 	0.8247 	470.7045 	1.3123
45 	0.4851 	48.9011 	549.1268 	0.8866 	522.4957 	1.1199
46 	0.3058 	98.3573 	695.5852 	0.6223 	574.4727 	1.5205
47 	0.742 	3.5309 	294.8103 	1.1868 	331.1011 	0.7528
48 	1.1175 	7.7347 	577.2794 	1.7095 	663.0625 	0.6997
49 	1.2318 	2.791 	235.8681 	1.8307 	257.4988 	0.7811
50 	0.3414 	77.678 	555.6491 	0.6734 	476.6967 	1.4048
51 	0.6417 	1.4552 	633.5064 	1.0779 	529.6325 	1.6812
52 	0.6597 	15.9002 	347.3895 	1.1816 	332.9886 	1.1036
53 	0.793 	50.0686 	454.0364 	1.3429 	440.8433 	1.0764
54 	0.4964 	24.0192 	645.8431 	0.9093 	564.7662 	1.3821
55 	1.0037 	1.6326 	309.1942 	1.531 	297.8733 	1.1189
56 	0.8344 	9.3904 	377.173 	1.3118 	329.2112 	1.5371
57 	0.4944 	1.6471 	543.4131 	0.9399 	451.971 	1.5504
58 	0.914 	1.499 	769.854 	1.4283 	649.8156 	1.7637
59 	0.5965 	44.3713 	695.7089 	1.0435 	547.6769 	1.9868
60 	0.4582 	26.3003 	570.3505 	0.8684 	525.8524 	1.1979
61 	0.4804 	36.8383 	394.379 	0.8536 	399.1863 	0.9729
62 	0.991 	0.5498 	254.884 	1.5097 	253.5533 	1.0154
63 	0.6993 	1.5488 	494.8158 	1.145 	398.8023 	1.9942
64 	0.9095 	3.5885 	368.4932 	1.4043 	382.0291 	0.9056
65 	1.1251 	0.8956 	247.5688 	1.7019 	278.5112 	0.7306
66 	1.2204 	0.9109 	533.3428 	1.9395 	484.3811 	1.3291
67 	0.671 	1.0171 	474 	1.0847 	423.3568 	1.3891
68 	0.7092 	0.9963 	402.5819 	1.1584 	396.041 	1.0437
69 	0.8981 	1.0698 	451.9412 	1.431 	373.5524 	1.8719
70 	0.7945 	14.0158 	802.7823 	1.2323 	627.3398 	2.5982
71 	0.8694 	1.9508 	246.6041 	1.367 	273.0428 	0.7725
72 	0.9336 	23.8615 	329.8959 	1.4319 	431.2267 	0.5312
73 	0.7693 	12.2478 	243.5353 	1.2359 	267.3689 	0.7941
74 	0.5951 	9.769 	543.6236 	0.9847 	477.4679 	1.4441
75 	0.3933 	61.9236 	304.6803 	0.7329 	294.8232 	1.0751
76 	0.7996 	1.1707 	536.9744 	1.1632 	501.5508 	1.2675
77 	0.4118 	43.8029 	774.131 	0.749 	612.032 	1.8694
78 	0.7287 	1.3949 	574.4836 	1.1034 	528.7642 	1.3061
79 	0.7883 	0.6826 	229.8149 	1.2657 	260.4135 	0.7391
