Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.899 	6.1434 	5043.0861 	1.4331 	4129.8842 	1.9451
2 	0.9239 	6.9281 	4456.6323 	1.4811 	3558.3372 	2.1543
3 	0.7795 	6.3299 	3942.755 	1.293 	3081.3714 	2.223
4 	0.6185 	10.8295 	4787.2011 	1.158 	3361.8135 	2.7708
5 	1.4423 	3.9057 	1759.9737 	2.0379 	1565.4353 	1.6082
6 	1.1278 	8.1457 	5599.4648 	1.688 	4437.4588 	2.6688
7 	0.6618 	4.5444 	3545.0782 	1.0893 	3192.7812 	1.3391
8 	0.7326 	8.9331 	4859.6751 	1.1873 	4026.9502 	1.8099
9 	0.2769 	2.1309 	661.2218 	0.556 	611.0738 	1.178
10 	0.6112 	6.4207 	3748.4994 	1.0309 	3147.7309 	1.6493
11 	0.7786 	5.9091 	3815.7228 	1.2827 	3139.1798 	1.8222
12 	0.932 	6.8465 	4368.1528 	1.4441 	3589.9596 	2.0094
13 	0.6386 	11.3876 	5204.8992 	1.0996 	4505.2433 	1.4719
14 	0.7329 	8.6723 	5353.6521 	1.2059 	4414.6467 	1.8086
15 	1.2994 	10.7801 	6171.8702 	1.9157 	5308.1955 	1.7698
16 	0.5136 	3.6516 	2309.1426 	0.9444 	1594.5286 	3.1088
17 	0.7986 	7.3274 	5230.3162 	1.2739 	4083.9149 	2.4242
18 	1.0319 	2.9155 	1505.7266 	1.5847 	1289.2685 	1.7009
19 	0.8633 	1.9099 	1082.7925 	1.3551 	917.5418 	1.7256
20 	0.878 	7.4695 	5118.0068 	1.4436 	3988.2626 	2.2907
21 	0.4901 	2.197 	1089.0106 	0.9293 	889.2537 	1.6344
22 	0.6318 	7.6179 	3305.8722 	1.1166 	2600.5799 	1.9661
23 	1.9382 	5.7411 	4223.8317 	2.732 	3415.7841 	2.9272
24 	0.6724 	5.8954 	1864.6852 	1.1288 	1522.9243 	1.8292
25 	0.8303 	4.8261 	3114.0366 	1.3338 	2501.9112 	2.0866
26 	0.9661 	2.3513 	1247.1961 	1.4935 	1072.4914 	1.6576
27 	0.4465 	1.5891 	760.7704 	0.8592 	667.67 	1.3419
28 	0.7764 	1.7099 	852.5099 	1.2568 	724.186 	1.6495
29 	0.9029 	3.4685 	2058.4026 	1.3717 	1760.8155 	1.733
30 	1.0317 	1.33 	499.339 	1.5747 	449.9458 	1.4023
31 	0.7412 	1.5758 	826.1741 	1.2081 	673.3027 	1.9186
32 	0.6608 	1.6519 	809.6698 	1.127 	661.472 	1.7937
33 	1.6416 	2.1035 	1418.6955 	2.2983 	1304.9723 	1.3899
34 	0.6498 	9.0317 	5842.1489 	1.159 	5020.7253 	1.4707
35 	0.7799 	6.7561 	4146.8108 	1.2457 	3960.8921 	1.1363
36 	0.5191 	1.8781 	820.1235 	0.9119 	660.5776 	1.8236
37 	0.8918 	2.1402 	1334.5004 	1.3996 	1142.3708 	1.6579
38 	1.1332 	1.5026 	744.6002 	1.7024 	689.9741 	1.2811
39 	0.6071 	1.375 	550.1097 	1.0309 	478.9142 	1.4594
