Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.8758 	1.2996 	294.7403 	1.2846 	282.659 	1.1478
2 	1.1646 	1.3258 	277.2744 	1.7549 	268.8083 	1.0998
3 	0.9612 	2.9283 	509.6797 	1.5186 	474.5363 	1.2313
4 	1.4861 	1.197 	287.7181 	2.1969 	284.125 	1.0401
5 	0.9184 	0.8578 	201.95 	1.4479 	196.4226 	1.0809
6 	0.3806 	0.9587 	214.5738 	0.7453 	206.5235 	1.083
7 	0.6467 	0.8174 	196.9005 	1.1217 	193.989 	1.0362
8 	1.289 	0.9676 	228.7403 	1.9397 	214.4928 	1.228
9 	0.4112 	0.9544 	247.6599 	0.7867 	213.297 	1.4099
10 	0.9236 	0.9066 	199.7069 	1.4378 	197.6135 	1.0302
11 	0.5802 	1.0563 	269.8955 	0.9532 	250.9193 	1.219
12 	0.3377 	0.6976 	171.5601 	0.6903 	171.1014 	1.0053
13 	0.5832 	0.8225 	203.9609 	1.0013 	200.6798 	1.0401
14 	0.5945 	0.8867 	217.7523 	0.9947 	208.7568 	1.1144
15 	0.6666 	1.4631 	357.5735 	1.131 	320.0204 	1.3436
16 	0.5543 	1.0143 	196.8109 	0.9428 	196.9992 	0.9977
17 	0.7122 	1.5705 	343.4589 	1.0779 	334.1206 	1.0871
18 	0.5884 	0.886 	208.3129 	1.0212 	206.3085 	1.0232
19 	0.6899 	0.8065 	189.8432 	1.1647 	188.3989 	1.019
20 	0.4173 	1.3276 	400.5016 	0.7308 	365.0993 	1.2596
21 	0.9736 	0.8436 	224.3947 	1.5673 	228.166 	0.9575
22 	0.6476 	1.4844 	276.3217 	1.0662 	270.4168 	1.0576
23 	2.026 	1.3432 	300.0169 	2.85 	276.484 	1.3723
24 	0.7186 	1.5656 	435.7238 	1.1898 	395.6516 	1.3025
25 	0.5158 	0.9398 	217.8992 	0.8996 	211.1798 	1.0779
26 	0.8989 	0.9302 	192.94 	1.3508 	195.695 	0.9591
27 	0.6735 	0.8698 	231.3114 	1.1271 	226.1321 	1.0589
28 	1.0051 	1.4958 	308.6971 	1.5023 	311.5177 	0.9731
29 	0.4028 	1.7406 	391.4138 	0.7497 	387.8199 	1.0202
30 	0.4692 	1.7953 	363.6344 	0.82 	354.1286 	1.0651
31 	0.409 	0.9881 	245.3187 	0.7695 	238.7146 	1.061
32 	0.5113 	1.8292 	433.1959 	0.903 	379.0435 	1.4048
33 	0.7035 	1.5015 	335.5531 	1.1383 	322.1203 	1.117
34 	0.5434 	0.9107 	198.5725 	0.9996 	198.7233 	0.9983
35 	0.7125 	0.9252 	211.6489 	1.2012 	209.3229 	1.0278
36 	0.7834 	1.4938 	268.3145 	1.2569 	259.1864 	1.0993
37 	0.8755 	1.5987 	388.6736 	1.4085 	371.5925 	1.1314
38 	0.6339 	0.956 	235.1499 	1.0785 	226.8053 	1.0942
39 	0.4444 	1.4172 	347.9968 	0.7932 	352.4394 	0.9718
40 	0.7711 	1.5039 	301.9496 	1.2576 	296.3481 	1.0504
41 	0.7931 	0.836 	199.3787 	1.2705 	197.8628 	1.0207
42 	0.3529 	1.2229 	281.913 	0.6858 	257.5992 	1.216
43 	0.6252 	0.9391 	213.6267 	1.0685 	211.2019 	1.0281
44 	0.8728 	1.6014 	366.5009 	1.3472 	365.0904 	1.011
45 	0.4511 	2.1092 	511.26 	0.8411 	478.6418 	1.1595
46 	0.3899 	2.5174 	520.0167 	0.7105 	475.7387 	1.2326
47 	1.2448 	1.5146 	282.1787 	1.8434 	280.4542 	1.0192
48 	0.6824 	1.5756 	317.6704 	1.1911 	314.4524 	1.0243
49 	1.559 	2.1992 	552.0546 	2.2255 	513.625 	1.3029
50 	0.688 	1.1687 	271.3506 	1.1459 	260.4372 	1.1119
51 	0.8357 	1.2549 	253.1657 	1.2693 	254.9313 	0.98
