Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	1.0149 	0.9245 	526.3383 	1.5479 	428.482 	2.1736
2 	0.6284 	16.517 	765.2148 	1.072 	616.3156 	1.8874
3 	1.0133 	2.2063 	246.3731 	1.536 	274.9745 	0.7456
4 	1.7208 	3.3131 	385.3804 	2.623 	416.4218 	0.8103
5 	0.8956 	55.0767 	466.2986 	1.3954 	423.2703 	1.347
6 	1.3107 	16.0844 	607.6135 	1.9609 	536.1313 	1.5498
7 	1.0114 	0.4722 	430.3039 	1.5431 	367.1409 	1.7422
8 	0.8679 	0.9802 	307.3533 	1.4862 	278.0979 	1.2967
9 	0.8473 	1.9725 	593.2028 	1.34 	470.4723 	2.2871
10 	1.0283 	0.5664 	280.1296 	1.5673 	276.4163 	1.0401
11 	0.5131 	47.8919 	739.2182 	0.916 	531.78 	2.7626
12 	0.5182 	33.5597 	391.2898 	0.9197 	364.9928 	1.182
13 	0.7118 	25.5497 	564.4492 	1.1663 	445.1623 	2.1848
14 	1.4324 	52.0476 	691.1259 	2.1987 	626.9311 	1.3634
15 	0.6898 	1.6388 	306.4924 	1.1477 	331.1389 	0.8323
16 	0.8636 	1.2628 	345.8744 	1.3623 	353.972 	0.9399
17 	0.8307 	0.6544 	298.6404 	1.3255 	344.4425 	0.7088
18 	0.9293 	0.4438 	289.9653 	1.4702 	314.9703 	0.8101
19 	1.1973 	0.6925 	219.8571 	1.7687 	242.9067 	0.755
20 	0.6579 	0.7361 	440.7745 	1.1266 	436.7717 	1.0223
21 	0.9491 	5.369 	733.8568 	1.4895 	561.4112 	2.8386
22 	0.6492 	52.0191 	351.694 	1.1062 	341.1597 	1.0782
23 	1.0887 	2.8195 	481.8733 	1.6464 	432.0104 	1.4398
24 	0.5548 	66.6693 	405.4176 	0.9734 	394.7506 	1.0652
25 	0.3515 	1.3084 	964.9383 	0.6954 	870.5055 	1.2467
26 	0.5654 	34.1428 	386.129 	1.0063 	410.4816 	0.8742
27 	0.6931 	0.9632 	967.3785 	1.1727 	774.8991 	1.9475
28 	0.676 	0.6207 	366.1196 	1.1187 	345.9242 	1.162
29 	0.9131 	1.0162 	583.6519 	1.4618 	546.9054 	1.2015
30 	0.4919 	1.1544 	993.9943 	0.9129 	692.158 	2.9276
31 	0.4668 	64.7199 	1104.228 	0.8429 	765.0642 	3.2091
32 	1.0439 	1.2462 	252.079 	1.5669 	262.4599 	0.8902
33 	0.7869 	0.57 	961.4399 	1.286 	699.1783 	3.365
34 	0.5745 	0.7834 	373.4372 	0.9792 	379.0969 	0.9646
35 	0.4462 	60.231 	561.9779 	0.8372 	496.7369 	1.3308
36 	0.7002 	0.7383 	454.6608 	1.182 	478.0382 	0.888
37 	0.9513 	0.557 	380.8627 	1.4786 	373.2024 	1.0598
38 	0.6353 	3.7279 	499.9559 	1.0966 	495.6656 	1.0208
39 	0.6316 	13.4683 	481.57 	1.0984 	383.9389 	1.9122
40 	0.8867 	31.8719 	368.5456 	1.4476 	410.6122 	0.7724
41 	0.369 	99.6845 	592.4655 	0.7097 	535.0258 	1.2531
42 	0.8612 	2.1153 	548.5574 	1.3864 	517.4157 	1.1763
43 	0.8435 	0.6884 	858.9435 	1.3275 	691.9729 	2.1424
44 	0.5063 	93.6862 	932.8026 	0.8767 	787.3958 	1.5846
