Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.8551 	6.0077 	300.5223 	1.3521 	277.676 	1.2608
2 	0.7106 	6.1157 	334.1884 	1.1707 	295.134 	1.4232
3 	1.2327 	6.1826 	256.4342 	1.8143 	244.1852 	1.1751
4 	0.8219 	6.4577 	283.7937 	1.2994 	267.5469 	1.1846
5 	0.8704 	6.015 	298.3741 	1.3494 	276.5286 	1.2599
6 	0.7449 	5.8572 	277.2871 	1.2018 	258.0146 	1.2237
7 	1.0876 	7.8499 	332.6342 	1.6527 	318.2381 	1.1449
8 	1.3279 	7.2978 	177.4733 	1.9269 	184.9173 	0.8811
9 	1.0584 	7.5554 	187.4577 	1.5716 	204.3199 	0.784
10 	0.5896 	49.3644 	201.0929 	1.0446 	198.8795 	1.0259
11 	0.7516 	6.8496 	221.6613 	1.203 	264.0605 	0.6623
12 	1.0526 	6.0782 	205.7371 	1.5908 	226.6596 	0.7689
13 	0.4245 	6.0547 	519.7543 	0.7779 	431.8768 	1.5927
14 	0.4249 	6.654 	273.1685 	0.7027 	283.1096 	0.9157
15 	1.0033 	5.963 	177.4809 	1.5263 	191.6794 	0.8107
16 	0.4635 	6.2498 	264.7893 	0.8381 	295.0258 	0.7965
17 	0.4042 	64.4725 	511.3168 	0.7587 	402.2105 	1.8405
18 	0.4704 	6.2318 	576.1783 	0.8805 	451.4919 	1.8677
19 	0.9128 	6.0336 	249.992 	1.4023 	259.2788 	0.9038
20 	0.8518 	6.2712 	513.155 	1.3509 	414.7382 	2.0793
21 	0.8168 	6.2887 	285.2544 	1.303 	320.0451 	0.7536
22 	0.9623 	6.2301 	414.1919 	1.4897 	349.0362 	1.7998
23 	1.0369 	7.153 	350.3243 	1.6055 	300.7242 	1.6661
24 	1.0219 	8.6712 	439.1859 	1.5623 	398.6729 	1.3637
25 	0.564 	35.9896 	242.399 	0.9681 	236.8568 	1.058
26 	0.6947 	25.8977 	285.6057 	1.09 	262.9952 	1.2792
27 	0.6402 	53.8278 	341.5753 	1.0894 	324.542 	1.1376
28 	0.514 	54.7425 	709.7501 	0.9272 	488.3123 	3.3345
29 	0.7097 	9.0613 	615.7421 	1.1704 	469.244 	2.5286
30 	0.5817 	48.908 	280.6364 	0.997 	315.9322 	0.7681
31 	1.0116 	7.6237 	382.242 	1.5563 	331.5311 	1.6104
32 	0.852 	11.2567 	330.0501 	1.3338 	294.0264 	1.433
33 	1.2549 	5.9376 	434.1257 	1.9466 	380.8975 	1.5268
34 	0.8587 	42.205 	294.3105 	1.4536 	284.568 	1.088
35 	1.6686 	84.121 	602.4334 	2.5653 	531.8769 	1.5039
36 	0.5979 	26.1797 	367.6042 	1.0146 	343.8366 	1.1868
37 	0.8632 	123.9258 	675.5881 	1.2786 	603.0944 	1.4931
38 	0.5084 	107.0598 	350.2062 	0.8574 	354.8585 	0.9684
39 	0.9038 	7.2736 	550.3082 	1.3612 	461.7748 	1.9183
40 	0.4923 	20.5424 	273.2616 	0.8561 	258.0815 	1.1504
41 	0.4914 	39.5392 	290.9022 	0.9022 	304.3572 	0.9078
42 	0.7763 	6.5801 	241.993 	1.2645 	239.9981 	1.0218
43 	0.6392 	23.1261 	445.2276 	0.968 	394.0066 	1.5122
44 	0.5393 	6.5358 	430.8425 	0.9504 	363.4006 	1.5671
45 	0.6302 	27.2474 	311.2376 	1.0924 	284.0845 	1.2597
46 	0.85 	36.8992 	521.3527 	1.3492 	459.4472 	1.4727
47 	0.7713 	15.4226 	259.7306 	1.2573 	245.5639 	1.1643
48 	0.5656 	24.8916 	381.6185 	0.9818 	381.1405 	1.003
49 	1.5238 	26.2252 	733.4677 	2.1497 	644.8937 	1.7086
50 	0.4396 	32.57 	294.1358 	0.7998 	283.788 	1.0847
51 	1.1162 	5.9563 	439.9254 	1.6804 	364.3398 	2.048
52 	1.1666 	8.2879 	369.5232 	1.7482 	319.399 	1.6884
53 	0.5314 	32.5904 	233.9012 	0.9346 	252.2774 	0.846
54 	0.7173 	18.0529 	314.0079 	1.1991 	324.809 	0.9211
55 	1.3586 	7.2641 	571.7954 	1.9734 	483.9197 	1.9736
56 	0.3429 	29.4655 	516.6025 	0.6528 	489.9486 	1.1219
57 	1.2603 	5.8463 	172.9676 	1.8593 	182.2135 	0.8577
58 	0.3455 	6.0656 	321.2111 	0.6539 	325.0524 	0.9753
59 	0.8856 	76.7341 	480.1166 	1.3997 	492.8709 	0.9326
60 	0.4138 	94.5889 	244.398 	0.7842 	217.4498 	1.3046
61 	0.4349 	105.7984 	374.9296 	0.8231 	360.3087 	1.0901
