Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.9606 	2.499 	483.5795 	1.4749 	404.3341 	1.8866
2 	1.0895 	1.2829 	289.9739 	1.6386 	305.3986 	0.863
3 	0.9041 	1.3541 	354.6398 	1.4227 	310.9319 	1.5107
4 	1.4168 	1.0786 	356.1087 	2.0353 	316.051 	1.5877
5 	0.3691 	15.3986 	431.4697 	0.6937 	372.7773 	1.4099
6 	0.8934 	17.4563 	195.6438 	1.3969 	207.6815 	0.8542
7 	0.3506 	12.4627 	416.9282 	0.6794 	378.4405 	1.2357
8 	0.7989 	111.8464 	330.5629 	1.3019 	320.4834 	1.0857
9 	0.6392 	10.3719 	855.4293 	1.0675 	609.3263 	3.5347
10 	1.0506 	1.5011 	624.5541 	1.5879 	505.0645 	2.3009
11 	0.8019 	1.3733 	332.7212 	1.2697 	281.1375 	1.7263
12 	1.3333 	1.3322 	471.513 	1.9513 	430.3438 	1.3807
13 	0.5938 	90.3556 	336.5738 	0.9832 	321.1972 	1.1304
14 	0.5558 	62.2585 	367.1302 	0.9337 	339.2343 	1.2311
15 	0.6261 	28.3948 	461.6844 	1.0579 	338.9237 	2.8685
16 	0.826 	90.3912 	322.9321 	1.3256 	292.4882 	1.3335
17 	0.5758 	6.6207 	216.9188 	1.0197 	210.5561 	1.0723
18 	1.9393 	1.5548 	470.1893 	2.7139 	409.2731 	1.8314
19 	0.4693 	2.4624 	322.9436 	0.851 	284.6109 	1.3598
20 	0.5149 	1.9933 	379.7359 	0.8947 	368.0629 	1.0781
21 	0.5215 	4.7399 	628.9228 	0.9561 	498.3834 	1.8404
22 	0.6655 	3.5865 	498.3786 	1.1117 	411.4296 	1.7689
23 	1.4517 	1.1168 	309.4506 	2.0729 	281.299 	1.4359
24 	0.6048 	2.0163 	474.948 	1.0328 	422.015 	1.3679
25 	0.9874 	7.3148 	350.3176 	1.5316 	296.4626 	1.7627
26 	0.6826 	1.3581 	420.8333 	1.1361 	369.3842 	1.4415
27 	0.5168 	84.8644 	242.6901 	0.9171 	221.5806 	1.2489
28 	0.5392 	1.7945 	273.1805 	0.9341 	265.49 	1.0713
29 	0.4846 	22.0311 	369.305 	0.8613 	321.9893 	1.4143
30 	0.6997 	27.592 	452.0509 	1.1513 	384.9003 	1.6095
31 	0.6298 	14.4144 	335.3701 	1.0638 	276.1819 	1.7623
32 	0.5396 	1.965 	178.9807 	0.9367 	182.4804 	0.9559
33 	0.9964 	41.8494 	377.6562 	1.4066 	378.9388 	0.9885
34 	0.5133 	128.5039 	470.0152 	0.8008 	500.7557 	0.8459
35 	0.8491 	50.3314 	171.8533 	1.4069 	167.0042 	1.0766
36 	0.7903 	53.4248 	243.2083 	1.2351 	258.169 	0.8541
37 	0.8696 	38.5203 	177.1099 	1.4122 	188.082 	0.8612
38 	1.0655 	3.4744 	533.2109 	1.5182 	487.4755 	1.4038
39 	0.7322 	0.809 	238.5694 	1.201 	221.7614 	1.2203
40 	0.5416 	139.5087 	844.5494 	0.8569 	708.3609 	1.78
41 	0.686 	16.1272 	574.6337 	1.0489 	581.8262 	0.9651
42 	0.9714 	21.0352 	237.1687 	1.4472 	270.7481 	0.699
43 	1.0075 	24.7469 	232.2959 	1.6258 	230.4907 	1.0209
44 	0.5914 	20.2921 	335.56 	1.0266 	294.5569 	1.4049
45 	1.0008 	47.821 	209.4284 	1.5867 	215.082 	0.9319
46 	1.6025 	21.3362 	273.9322 	2.2383 	256.1884 	1.2954
47 	0.9549 	2.125 	361.0458 	1.4714 	324.9858 	1.3977
48 	0.2788 	2.1253 	629.5029 	0.5272 	629.7016 	0.9993
49 	0.4603 	2.3781 	300.4163 	0.8202 	267.2298 	1.3364
50 	0.5796 	29.5464 	195.0545 	0.9752 	214.0477 	0.8064
51 	0.7317 	130.0833 	373.6671 	1.1903 	330.9022 	1.4225
52 	0.7958 	51.0165 	252.5997 	1.3107 	234.0659 	1.2297
53 	1.1023 	1.3767 	450.9303 	1.6709 	365.811 	2.2458
54 	0.6411 	27.5252 	340.839 	1.0707 	356.3001 	0.8984
55 	1.4376 	49.7144 	218.9587 	2.1402 	230.1402 	0.8654
56 	0.2946 	42.8508 	180.1783 	0.6209 	185.6344 	0.9455
57 	0.3484 	15.0121 	348.0501 	0.6891 	289.5963 	1.5144
58 	1.2312 	2.7442 	604.9407 	1.8583 	484.8008 	2.4304
59 	0.429 	45.0309 	171.914 	0.7444 	184.8175 	0.8495
60 	0.6406 	1.9172 	241.7617 	1.087 	233.3162 	1.093
