Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	1.084 	2.5086 	338.9791 	1.637 	284.2918 	1.914
2 	0.6388 	2.115 	231.7196 	1.0841 	232.9746 	0.987
3 	1.0739 	1.8658 	323.3907 	1.6155 	284.2758 	1.5645
4 	0.8201 	1.9603 	238.2081 	1.3031 	225.3411 	1.1706
5 	0.6365 	2.1226 	298.0544 	1.0553 	268.6338 	1.3311
6 	0.8512 	2.1435 	217.8459 	1.3482 	238.6728 	0.7941
7 	0.6628 	1.9394 	267.6539 	1.1292 	235.476 	1.4105
8 	1.3407 	3.4802 	390.8251 	1.9539 	355.8797 	1.3984
9 	0.7708 	3.8429 	363.144 	1.3674 	279.8757 	2.1078
10 	0.5761 	3.4268 	433.3573 	0.9353 	377.8536 	1.5003
11 	1.3015 	3.074 	408.1272 	1.8301 	361.2518 	1.6603
12 	0.7138 	1.9661 	191.9325 	1.1782 	209.8035 	0.8089
13 	0.7308 	1.9317 	215.0276 	1.1952 	200.528 	1.21
14 	0.6013 	1.8852 	197.6983 	1.0001 	206.7586 	0.8969
15 	0.5806 	1.8748 	380.666 	0.949 	308.444 	1.956
16 	0.7504 	2.2026 	331.1537 	1.1884 	282.1142 	1.6718
17 	0.6664 	1.8686 	349.5663 	1.1275 	282.3302 	1.8881
18 	0.4857 	3.3517 	367.6113 	0.8251 	326.3865 	1.3748
19 	1.8643 	2.1875 	362.7358 	2.6791 	322.1657 	1.5816
20 	0.4219 	1.9853 	272.759 	0.8299 	227.1623 	1.5152
21 	0.7258 	2.5557 	240.5267 	1.1886 	276.0533 	0.725
22 	0.8461 	1.9182 	293.0441 	1.3411 	261.0806 	1.4195
23 	0.5234 	2.5887 	224.6743 	0.9379 	203.1668 	1.2765
24 	1.0275 	2.3568 	307.9299 	1.57 	268.3496 	1.5923
25 	0.7579 	4.3404 	360.0597 	1.1411 	289.3135 	2.4106
26 	0.6893 	5.2284 	524.196 	1.1458 	421.7891 	1.9622
27 	0.6066 	2.1315 	332.5403 	1.0332 	283.8215 	1.5499
28 	0.677 	2.817 	348.3953 	1.1317 	316.5557 	1.2944
29 	0.7388 	1.2814 	158.7041 	1.2065 	170.8697 	0.8349
30 	0.7406 	1.7752 	179.5114 	1.2145 	190.2319 	0.8673
31 	0.3289 	3.9287 	609.0855 	0.6159 	483.0763 	1.7984
32 	0.6812 	2.776 	432.9648 	1.1413 	349.2223 	1.9223
33 	0.563 	3.5375 	470.0547 	0.9577 	447.2712 	1.1333
34 	1.0483 	2.9907 	534.682 	1.5685 	458.6602 	1.7504
35 	0.6557 	1.7839 	347.5113 	1.0941 	282.8278 	1.8676
36 	0.767 	3.2453 	282.7754 	1.216 	270.1935 	1.137
37 	0.6941 	2.4818 	238.2814 	1.1438 	233.1685 	1.0577
38 	0.5906 	3.8955 	524.3103 	1.0061 	472.4881 	1.3146
39 	0.872 	3.6529 	338.7362 	1.3587 	338.003 	1.0061
40 	0.6442 	2.1054 	200.1268 	1.0836 	204.279 	0.9513
41 	1.2564 	3.5646 	356.405 	1.8172 	340.1683 	1.1732
42 	0.8148 	2.3201 	244.866 	1.2949 	251.6816 	0.9302
43 	0.5373 	4.0263 	290.5347 	0.9213 	293.23 	0.9782
44 	0.6628 	3.0123 	314.0806 	1.0429 	310.6801 	1.0306
45 	0.6271 	2.2535 	216.3694 	1.0681 	236.1863 	0.8185
46 	0.4847 	1.9308 	189.9355 	0.8209 	181.5888 	1.1202
47 	0.9122 	2.9065 	290.0321 	1.4244 	299.9342 	0.9133
48 	0.8223 	2.722 	461.9963 	1.2819 	379.1287 	2.001
49 	0.6986 	3.4407 	395.3979 	1.0726 	347.0618 	1.5398
50 	0.3028 	2.1641 	221.4507 	0.5786 	228.7935 	0.9349
51 	0.8115 	2.8862 	430.9246 	1.1709 	376.2784 	1.7041
52 	0.6936 	3.0943 	347.9886 	1.0967 	318.0555 	1.3055
53 	0.8735 	2.2836 	233.8006 	1.403 	224.7846 	1.1138
54 	0.8794 	3.926 	440.5995 	1.3842 	360.7641 	1.9876
55 	0.4367 	3.4648 	522.274 	0.7928 	422.1121 	1.7453
56 	1.2633 	2.1987 	323.0297 	1.8623 	284.3335 	1.5935
57 	0.4058 	3.5591 	378.2984 	0.7883 	333.1546 	1.3262
58 	0.5891 	2.9982 	259.6246 	0.8441 	276.6852 	0.8213
59 	0.4149 	3.3745 	365.7516 	0.7072 	342.4466 	1.1823
60 	0.6137 	2.2012 	221.887 	1.0412 	265.4877 	0.6763
61 	0.5582 	2.9701 	404.7926 	0.9792 	344.1298 	1.535
62 	0.5076 	3.8764 	415.6193 	0.9047 	360.6735 	1.431
63 	0.6661 	4.1432 	499.1834 	1.0104 	452.4463 	1.3789
64 	0.8172 	2.3111 	234.1289 	1.3402 	234.1304 	1
65 	0.6348 	5.1198 	840.4009 	1.0003 	656.873 	2.485
66 	0.8117 	2.9392 	264.2842 	1.3069 	287.7766 	0.81
67 	0.7477 	2.8276 	468.5806 	1.2035 	389.4176 	1.8055
68 	0.4194 	3.105 	258.8634 	0.7191 	276.8651 	0.857
69 	0.6666 	5.1691 	655.1478 	1.0025 	540.1879 	2.0992
70 	0.6313 	2.3793 	235.6712 	1.061 	247.6598 	0.8884
71 	0.5696 	2.659 	522.6687 	0.9775 	416.5095 	1.948
72 	1.2066 	2.7317 	336.2804 	1.7573 	321.2556 	1.1663
73 	0.6427 	3.0692 	586.0667 	1.0745 	460.6104 	2.1397
74 	0.5647 	2.76 	253.6228 	0.9787 	254.4749 	0.9921
75 	0.8567 	3.0721 	344.0114 	1.3941 	296.5721 	1.5569
76 	0.4489 	2.241 	205.4129 	0.8241 	240.249 	0.7286
77 	0.6242 	2.6298 	285.8269 	1.0621 	277.8364 	1.0727
78 	0.6101 	5.209 	673.1954 	1.0233 	550.1162 	1.8275
79 	0.4769 	4.6947 	451.9718 	0.8594 	387.1308 	1.4757
80 	0.6055 	3.3045 	595.5708 	1.0248 	457.2577 	2.3123
81 	0.5278 	2.0232 	206.9527 	0.9206 	216.814 	0.8995
82 	0.7748 	2.8321 	368.3812 	1.2284 	335.4141 	1.3199
83 	0.9231 	3.4611 	610.5491 	1.4581 	510.4162 	1.8081
84 	1.6063 	2.6327 	384.3295 	2.3611 	355.45 	1.3073
85 	0.7176 	3.9655 	537.6827 	1.1776 	452.5913 	1.6809
86 	0.884 	3.4221 	531.358 	1.3825 	443.9183 	1.8395
87 	0.7561 	2.3341 	220.0178 	1.2021 	253.7982 	0.7073
88 	0.6635 	2.4661 	323.6337 	1.0309 	302.2672 	1.2274
89 	0.9041 	2.2927 	442.1608 	1.4488 	358.2277 	2.0197
90 	0.7255 	1.4737 	160.2193 	1.1823 	173.7948 	0.8201
91 	0.7257 	3.669 	534.996 	1.1839 	435.9237 	1.9174
92 	0.6019 	2.6957 	328.6281 	1.0318 	311.1283 	1.1465
93 	0.8802 	3.561 	702.2424 	1.2875 	574.9773 	2.341
94 	0.5536 	4.9728 	321.411 	1.0128 	284.7818 	1.3357
95 	0.512 	5.1833 	407.9519 	0.9077 	362.5372 	1.343
