Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.4017 	1.8339 	209.2499 	0.7044 	215.4284 	0.9357
2 	0.7855 	1.5805 	276.4448 	1.2651 	231.6411 	1.7467
3 	0.5977 	1.9336 	192.2841 	1.1529 	187.9032 	1.0497
4 	0.935 	2.8878 	392.2215 	1.4341 	335.5017 	1.7109
5 	0.806 	1.8805 	221.491 	1.3203 	203.3504 	1.2662
6 	0.549 	4.4945 	314.2399 	1.0608 	233.5414 	2.1383
7 	0.5581 	3.9504 	301.5613 	0.9617 	284.8994 	1.1516
8 	0.8168 	4.6412 	677.4308 	1.2983 	551.526 	2.0048
9 	0.978 	2.1225 	408.9009 	1.5284 	330.4589 	2.1398
10 	0.4281 	1.8304 	212.3042 	0.7493 	215.5889 	0.9652
11 	0.6287 	2.8095 	232.2176 	1.0888 	209.8559 	1.2951
12 	0.7055 	1.7753 	273.4234 	1.1612 	240.2186 	1.4481
13 	0.8436 	2.3181 	349.0873 	1.3214 	290.491 	1.8666
14 	0.6106 	6.6028 	367.911 	1.0576 	283.8758 	2.1757
15 	0.6562 	2.3738 	225.3709 	1.1451 	221.4388 	1.0426
16 	0.8005 	1.6279 	153.0723 	1.2919 	159.8864 	0.8952
17 	1.0864 	3.2795 	404.3499 	1.6278 	354.8633 	1.5821
18 	0.7603 	1.7211 	160.2265 	1.216 	163.7287 	0.9449
19 	0.7809 	3.2156 	291.9059 	1.2764 	241.2001 	1.81
20 	0.9479 	1.9364 	349.3866 	1.4709 	290.1978 	1.91
21 	0.4653 	1.8766 	197.8554 	0.8821 	190.4767 	1.0857
22 	1.2957 	1.1863 	166.3941 	1.924 	161.3604 	1.1021
23 	0.9309 	2.1358 	375.2991 	1.4353 	303.8221 	2.183
24 	0.6694 	2.2683 	189.839 	1.1251 	197.5049 	0.9093
25 	1.4749 	2.3043 	246.6369 	2.2256 	233.2073 	1.1925
26 	0.8517 	2.1501 	185.0181 	1.41 	175.2663 	1.1535
27 	0.3873 	2.1272 	237.3713 	0.7419 	231.7901 	1.0517
28 	1.0125 	3.1122 	395.8161 	1.5258 	344.1645 	1.6336
29 	0.7817 	2.5293 	193.1774 	1.2604 	209.2657 	0.8202
30 	0.9456 	2.1859 	441.0491 	1.4711 	354.9782 	2.2042
31 	1.0641 	2.5287 	216.112 	1.6493 	218.7214 	0.9671
32 	1.7307 	2.1668 	286.085 	2.4108 	284.6808 	1.0177
33 	0.7161 	1.5512 	236.5224 	1.1872 	226.7891 	1.1157
34 	0.5516 	2.1731 	186.0364 	1.0275 	170.512 	1.2198
35 	0.8404 	1.6626 	172.8802 	1.333 	171.9875 	1.0142
36 	0.9671 	3.8122 	430.8049 	1.4908 	362.4828 	1.8231
37 	0.6745 	3.8092 	357.6992 	1.1471 	282.6392 	2.0378
38 	0.8788 	2.6124 	331.775 	1.3727 	286.7929 	1.6046
39 	0.6863 	2.5851 	220.375 	1.1673 	209.5029 	1.136
40 	0.5826 	1.9298 	247.1129 	0.9704 	214.0842 	1.5025
41 	0.8958 	1.6524 	183.1216 	1.3711 	183.1409 	0.9997
42 	0.8403 	1.7249 	305.3457 	1.3235 	265.3743 	1.559
43 	0.9244 	3.8081 	388.7183 	1.4414 	340.2323 	1.5331
44 	0.6362 	2.5014 	530.8845 	1.0854 	400.6839 	2.4544
45 	0.8041 	3.5343 	580.9491 	1.3011 	446.8385 	2.5277
46 	1.105 	1.9983 	280.6546 	1.738 	239.5128 	1.6737
47 	1.0302 	2.3193 	271.6526 	1.5684 	290.5378 	0.8315
48 	0.8779 	1.7 	211.141 	1.3771 	195.3968 	1.259
49 	0.6644 	5.1535 	318.9025 	1.1163 	264.6945 	1.7238
50 	0.7024 	5.8398 	443.933 	1.1561 	365.7137 	1.8146
51 	1.1572 	1.7878 	275.193 	1.8466 	239.4003 	1.5347
52 	0.7558 	1.6495 	250.3724 	1.1653 	221.6229 	1.4853
53 	0.6467 	2.4812 	229.4924 	1.1223 	203.0644 	1.3732
54 	0.4929 	1.02 	177.2793 	0.8763 	164.5981 	1.1955
55 	0.6515 	1.5288 	166.5856 	1.0046 	177.6303 	0.8413
56 	0.7003 	2.5056 	255.1796 	1.1576 	235.3942 	1.2442
57 	0.7298 	1.7236 	203.5297 	1.1606 	189.1653 	1.2348
58 	0.9076 	1.5776 	221.8337 	1.4314 	209.6946 	1.1758
59 	0.9579 	1.4783 	160.8517 	1.4979 	161.7134 	0.9854
60 	0.7194 	2.0754 	182.5024 	1.1564 	188.8023 	0.9163
61 	0.5986 	1.7731 	295.8365 	1.0361 	244.7224 	1.6926
62 	0.9495 	2.0335 	347.3933 	1.3835 	300.3679 	1.7593
63 	0.8486 	2.7383 	285.4742 	1.3344 	258.8666 	1.3441
64 	0.668 	4.5848 	377.4176 	1.1367 	297.6282 	2.052
65 	0.5155 	2.6087 	222.4932 	0.9517 	197.8747 	1.3182
66 	0.7516 	1.7195 	204.9066 	1.226 	192.1652 	1.1915
67 	0.8107 	2.0143 	230.0985 	1.312 	215.2107 	1.2038
68 	0.631 	1.642 	225.7618 	1.0524 	218.9073 	1.082
69 	0.9965 	1.3998 	195.8571 	1.5412 	187.8096 	1.1316
70 	0.4246 	3.4833 	336.4002 	0.7913 	296.3066 	1.3462
71 	1.0214 	1.8129 	223.3733 	1.5569 	204.9028 	1.3165
72 	0.5245 	1.0188 	148.4913 	0.9499 	148.8611 	0.9945
73 	0.6183 	1.5407 	174.6922 	1.0609 	169.8204 	1.0716
74 	0.4658 	1.4342 	257.529 	0.8739 	215.1886 	1.5434
75 	0.7844 	3.5294 	291.9162 	1.3613 	236.0017 	1.8247
76 	0.6811 	2.2546 	285.6051 	1.056 	251.9542 	1.4967
77 	0.3851 	2.4469 	218.3204 	0.6878 	188.2218 	1.4561
78 	1.0103 	2.5179 	252.3648 	1.5639 	227.6325 	1.3828
79 	0.7053 	3.4269 	327.2014 	1.2044 	275.8708 	1.6091
80 	0.7222 	2.0234 	252.6997 	1.1801 	231.2527 	1.28
81 	0.4727 	1.8662 	232.3136 	0.8532 	231.5891 	1.007
82 	0.586 	5.5442 	436.0607 	0.9581 	336.4139 	2.4298
83 	0.8137 	1.5814 	190.6397 	1.3187 	204.2199 	0.8432
84 	1.3196 	2.1012 	263.2083 	1.9565 	235.6581 	1.4739
85 	1.4621 	2.3791 	223.0016 	2.3075 	217.7072 	1.0693
86 	0.4793 	2.0974 	285.4195 	0.8687 	243.0276 	1.4955
87 	0.6636 	1.7987 	275.5605 	1.0745 	247.8684 	1.3565
88 	0.601 	1.7417 	215.3667 	1.022 	210.6521 	1.0561
89 	0.8572 	2.0223 	264.649 	1.3065 	247.113 	1.2387
90 	0.6476 	3.2679 	565.4112 	1.034 	449.6266 	2.2123
91 	0.7028 	1.9988 	283.5344 	1.1585 	248.1036 	1.4656
92 	0.4242 	2.0233 	227.4415 	0.8444 	201.9351 	1.2909
93 	0.654 	2.5429 	510.0357 	1.0698 	387.3046 	2.6254
