Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	1.2432 	5.0013 	2054.988 	1.9797 	1825.9812 	1.4276
2 	0.6866 	3.5139 	1671.2863 	1.1621 	1348.6269 	1.8934
3 	0.7612 	2.9828 	1587.7786 	1.2256 	1334.8672 	1.7252
4 	0.6048 	3.5761 	1922.9505 	1.0704 	1587.5552 	1.6694
5 	0.4653 	5.7104 	2374.5457 	0.9144 	2193.4668 	1.1838
6 	0.7232 	2.7962 	1360.1785 	1.1724 	1282.1475 	1.1761
7 	0.5854 	3.4671 	1629.4224 	1.0145 	1431.6366 	1.4025
8 	0.5764 	4.5047 	1911.2093 	1.0164 	1537.7248 	1.8229
9 	0.7135 	3.0564 	1639.3651 	1.1693 	1433.5501 	1.4752
10 	0.8045 	2.9726 	1532.7646 	1.2819 	1396.236 	1.3143
11 	0.8332 	2.8239 	1052.6541 	1.2719 	1051.6462 	1.0028
12 	0.5838 	9.3812 	3574.0227 	0.9678 	2800.6995 	2.1993
13 	0.5742 	4.942 	1719.4469 	0.9586 	1570.846 	1.2748
14 	0.7564 	3.9191 	2272.9664 	1.2425 	1774.2431 	2.277
15 	0.5798 	5.1179 	2418.1087 	1.0024 	1984.1288 	1.7411
16 	0.7225 	5.5813 	1898.8297 	1.1953 	1734.1938 	1.2808
17 	0.998 	6.7937 	2506.574 	1.5647 	2045.8091 	2.0309
18 	1.6105 	5.7932 	2361.574 	2.358 	1906.6877 	2.5485
19 	0.77 	5.0437 	2226.2346 	1.2602 	1755.888 	2.1887
20 	0.9291 	3.4306 	1890.6658 	1.463 	1535.6082 	2.0603
21 	1.0609 	2.5453 	914.8254 	1.6257 	906.2602 	1.0277
22 	0.9773 	3.4571 	1707.3211 	1.5238 	1552.0439 	1.3398
23 	0.3881 	4.2239 	1544.9321 	0.7625 	1513.4239 	1.0433
24 	0.8938 	7.0574 	3002.608 	1.4239 	2227.7751 	3.2583
25 	0.641 	4.8072 	1931.9008 	1.223 	1503.8965 	1.871
26 	0.7261 	3.3075 	1655.6355 	1.1778 	1374.9633 	1.7922
27 	0.7791 	3.3148 	1320.2929 	1.2587 	1156.8936 	1.481
28 	2.0187 	3.4658 	1537.4313 	2.7434 	1399.8074 	1.5125
29 	0.5577 	5.4591 	2180.1235 	0.9918 	1728.9143 	1.8972
30 	0.5998 	3.1145 	1486.1058 	1.0405 	1394.4267 	1.1705
31 	0.8748 	3.6779 	1772.6197 	1.3587 	1690.9444 	1.1486
32 	0.3598 	4.3073 	2175.6529 	0.65 	2006.2616 	1.2113
33 	0.798 	4.0514 	1356.9837 	1.2661 	1422.6943 	0.8842
34 	0.8511 	4.9361 	2434.3827 	1.3687 	2118.1162 	1.5234
35 	0.4855 	4.7443 	1926.6538 	0.9214 	1504.1328 	1.8639
36 	0.3892 	4.7438 	2482.0845 	0.679 	2154.9358 	1.4468
37 	0.7325 	3.9483 	1595.9613 	1.3071 	1671.1513 	0.9032
38 	0.6864 	2.5005 	1258.899 	1.1604 	1195.0461 	1.1418
39 	1.4121 	4.9502 	2175.3811 	2.2134 	2021.5323 	1.2428
40 	0.7166 	5.6298 	3630.5076 	1.197 	2953.3234 	1.8682
41 	1.0049 	2.9937 	1384.6383 	1.5248 	1269.3853 	1.3229
42 	0.6464 	2.7791 	1215.3352 	1.0607 	1151.3541 	1.1558
43 	0.6641 	7.7498 	3048.4042 	1.1022 	2729.8591 	1.3566
44 	0.5509 	12.0158 	5028.9805 	0.9341 	4013.4524 	1.9693
45 	1.3832 	3.3228 	1460.0224 	1.9893 	1403.5421 	1.1455
46 	0.7912 	3.306 	1564.2132 	1.286 	1404.5324 	1.3612
47 	0.6201 	2.4964 	1040.7626 	1.0322 	1105.2093 	0.8657
48 	0.7525 	4.4025 	1866.5931 	1.1841 	1729.2335 	1.2529
49 	0.8034 	2.906 	1616.4423 	1.3761 	1383.4375 	1.5299
50 	0.8367 	2.9544 	1188.7283 	1.3073 	1311.9044 	0.7765
51 	0.7225 	3.5594 	1869.6623 	1.1804 	1780.8639 	1.1395
52 	0.8206 	3.1035 	1549.3275 	1.3232 	1397.4075 	1.348
53 	0.9349 	7.1929 	3418.0601 	1.4325 	3087.4345 	1.3859
54 	0.3609 	4.2959 	1337.8145 	0.7777 	1033.3665 	1.738
55 	0.8449 	2.7235 	1373.2595 	1.3636 	1229.9591 	1.3781
56 	0.9638 	3.6225 	1736.5002 	1.4737 	1567.6873 	1.3907
57 	0.9498 	4.4673 	1877.4382 	1.3836 	1788.8554 	1.1771
58 	0.847 	4.3554 	1920.0309 	1.3266 	1687.3394 	1.5043
59 	0.7176 	5.4984 	2559.6356 	1.2308 	2318.7195 	1.2915
60 	0.5795 	4.0912 	2926.284 	0.9882 	2250.716 	2.2638
61 	0.8438 	5.6166 	3415.2654 	1.3537 	2781.4795 	1.9708
62 	0.695 	4.6325 	2553.067 	1.0499 	2153.6325 	1.8615
63 	0.5305 	4.2931 	2906.8139 	0.9428 	1911.3488 	4.6096
64 	0.5804 	8.0093 	4530.3436 	1.0112 	3424.3958 	2.3421
65 	0.4891 	5.287 	2140.2835 	0.9274 	2079.3831 	1.0641
66 	1.3306 	10.57 	4017.2794 	2.0798 	3312.0466 	1.9507
67 	0.5865 	4.0875 	2992.4923 	1.0264 	2205.5495 	2.5879
68 	0.6483 	6.5667 	4201.0442 	1.154 	2757.5761 	4.6329
