Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	0.8234 	9.013 	4778.0778 	1.3515 	3668.935 	2.4633
2 	0.7501 	8.3787 	3717.0615 	1.2406 	3040.8512 	1.8524
3 	0.7993 	6.716 	3247.081 	1.329 	2778.9672 	1.5666
4 	0.3968 	9.0804 	3364.1725 	0.744 	3039.2438 	1.261
5 	0.6927 	5.1021 	1966.2841 	1.1785 	1962.8115 	1.0043
6 	0.4172 	6.1017 	3126.923 	0.784 	2277.1201 	2.3862
7 	0.5641 	6.825 	3687.9454 	0.9678 	2672.2214 	2.9441
8 	0.7259 	3.3616 	1993.8371 	1.1748 	1577.4114 	2.2056
9 	1.0358 	5.6351 	2788.4413 	1.5813 	2303.6878 	2.016
10 	0.6844 	6.6507 	2747.5399 	1.1271 	2456.0224 	1.3701
11 	0.6242 	9.8224 	4247.677 	1.0856 	3016.4259 	3.1452
12 	1.0661 	9.666 	4291.4249 	1.639 	3544.1029 	1.9928
13 	0.9507 	8.4787 	4078.4774 	1.5212 	3242.4515 	2.2057
14 	0.5477 	9.4863 	4802.8205 	0.949 	3732.5512 	2.1143
15 	0.7594 	1.7991 	1070.4619 	1.217 	956.1493 	1.3967
16 	1.0194 	8.1098 	2964.6874 	1.5618 	2802.4253 	1.1871
17 	0.4378 	9.3926 	3826.8471 	0.8154 	3569.8684 	1.1696
18 	0.8401 	7.0796 	3313.0842 	1.3392 	2631.7744 	2.2309
19 	0.6442 	9.3926 	3853.1849 	1.1433 	3199.1328 	1.6362
20 	1.0004 	3.3531 	1498.4154 	1.5126 	1527.8892 	0.9451
21 	0.7036 	10.4178 	4481.1663 	1.1571 	3643.477 	1.9117
22 	0.898 	8.5998 	3683.2261 	1.3971 	3188.0012 	1.6035
23 	0.7486 	7.8578 	3620.9196 	1.2542 	3170.9029 	1.4457
24 	1.2683 	11.141 	4237.3478 	1.8586 	4042.9126 	1.1689
25 	0.7287 	7.2783 	3806.9297 	1.2033 	3027.7798 	2.0786
26 	1.0671 	8.4142 	4029.7999 	1.6053 	3371.9994 	1.9488
27 	0.3921 	6.0783 	2854.8063 	0.788 	2585.7709 	1.2309
28 	0.6099 	6.3795 	2633.2339 	1.0828 	2547.4503 	1.0806
29 	0.6627 	6.7953 	3032.5179 	1.1075 	2413.5745 	2.033
30 	0.6574 	5.0464 	3048.1309 	1.111 	2354.8865 	2.2579
31 	1.0637 	7.9845 	3649.0765 	1.6171 	2941.6945 	2.3066
32 	0.6655 	9.7049 	5091.8855 	1.0995 	3949.0935 	2.3178
33 	0.6048 	6.8787 	3072.3172 	1.0443 	2717.5434 	1.3782
34 	0.7933 	7.1688 	3684.2202 	1.2903 	3262.2205 	1.4233
35 	0.478 	12.8411 	5836.0849 	0.9142 	3808.357 	3.6788
36 	0.8135 	7.6511 	3923.6515 	1.2974 	3086.4761 	2.3366
37 	0.7233 	4.8674 	3260.9347 	1.198 	2551.6838 	2.2168
38 	0.6225 	16.4162 	8616.2132 	1.1228 	6389.2563 	2.3812
39 	1.2771 	11.9474 	6052.53 	1.8913 	5016.3203 	2.1151
40 	1.1123 	10.3093 	4044.9832 	1.7317 	3933.4584 	1.0835
41 	0.6031 	15.2022 	5744.5043 	1.0306 	5101.4647 	1.3696
42 	0.7268 	4.7859 	2255.2835 	1.189 	2109.5117 	1.1994
43 	0.6043 	8.6021 	3424.2162 	1.0366 	2912.5434 	1.5584
44 	1.1783 	7.9327 	3388.555 	1.7409 	3467.3235 	0.9329
45 	0.6713 	8.3868 	3622.5859 	1.1184 	2827.987 	2.216
46 	1.0747 	4.4493 	1883.5187 	1.5241 	1830.6074 	1.1053
47 	0.4357 	8.8134 	3697.6682 	0.7196 	3504.5498 	1.1525
48 	0.5516 	11.8303 	5324.1039 	0.9661 	4471.6509 	1.5954
49 	1.0126 	4.7869 	2495.0955 	1.5309 	2252.8758 	1.402
50 	0.6326 	7.9616 	3928.9045 	1.0623 	3174.1056 	1.9046
51 	0.5072 	13.3633 	5927.5263 	0.9368 	4914.2501 	1.5942
52 	1.4125 	7.3731 	3547.2288 	2.0267 	3091.1799 	1.7369
53 	0.4645 	12.57 	4140.868 	0.8443 	3814.5763 	1.2124
54 	0.6538 	6.2739 	3246.8744 	1.0908 	2782.9126 	1.5543
55 	0.7742 	8.4541 	3631.0753 	1.2473 	3305.1011 	1.3101
56 	0.6117 	10.471 	4503.1595 	1.0641 	3967.6456 	1.3883
57 	0.4654 	14.2621 	3586.8909 	0.9016 	3233.3313 	1.2559
58 	0.4386 	8.3958 	3876.167 	0.7061 	3412.5331 	1.4614
59 	0.8168 	5.7347 	2804.1376 	1.3138 	2411.7174 	1.5872
60 	0.803 	8.1996 	4074.3885 	1.2856 	3311.039 	1.9962
61 	0.9141 	6.9543 	3648.776 	1.4498 	2984.4061 	1.9715
62 	0.5345 	11.9653 	5127.9994 	0.9631 	4490.8025 	1.3874
63 	0.8321 	4.3051 	2365.155 	1.3406 	2079.4456 	1.4673
64 	1.0123 	4.9736 	2488.3736 	1.5526 	2162.614 	1.603
65 	1.2238 	5.1084 	2728.5998 	1.7924 	2422.0414 	1.5484
66 	0.811 	6.185 	2558.211 	1.3545 	2439.9681 	1.1302
67 	0.6797 	15.8024 	5685.6437 	1.1447 	4080.2296 	3.2791
68 	0.5618 	13.2806 	6644.5885 	0.985 	4385.9 	4.7904
69 	0.6088 	11.5127 	4914.4789 	1.045 	3811.3477 	2.1634
70 	1.0511 	9.9278 	5052.3565 	1.6166 	3976.3517 	2.5562
71 	0.5439 	4.6796 	2585.0648 	0.9566 	2034.1133 	1.9766
72 	0.7301 	4.8499 	2454.8428 	1.2032 	2285.4937 	1.2128
73 	0.7402 	6.5894 	4004.9963 	1.2025 	3033.7179 	2.7092
74 	0.5126 	8.6408 	4272.5193 	0.9076 	3178.3837 	2.4298
75 	0.6308 	6.8933 	3398.7994 	1.0887 	3358.5147 	1.029
76 	0.3696 	9.4988 	4476.3817 	0.7168 	3881.8691 	1.3777
77 	0.7285 	2.3034 	1015.8123 	1.1994 	929.3703 	1.2767
