Cell # 	Area_N 	Red_N 	Green_N 	Area_T 	Green_T 	Green N/C
1 	1.4987 	1.1323 	482.4346 	2.1402 	409.9407 	2.0053
2 	0.7729 	81.4199 	231.4619 	1.2428 	258.1815 	0.7661
3 	1.023 	79.2689 	198.6804 	1.532 	221.0325 	0.747
4 	0.575 	87.9075 	260.6496 	0.9829 	275.6963 	0.8779
5 	0.6211 	7.4275 	266.0978 	1.0388 	270.677 	0.959
6 	1.0617 	0.9381 	286.0526 	1.6108 	251.0683 	1.5596
7 	0.6546 	11.3221 	195.8064 	1.0921 	213.0689 	0.8196
8 	0.96 	15.5062 	380.8804 	1.4582 	328.4115 	1.6755
9 	2.1081 	6.3264 	249.7804 	2.8772 	244.591 	1.0843
10 	1.3528 	3.642 	399.7667 	1.9756 	338.3883 	1.9493
11 	0.8016 	6.2446 	549.8231 	1.2806 	473.831 	1.5862
12 	1.7216 	32.7965 	443.1191 	2.5416 	375.4015 	1.8999
13 	0.9615 	15.4955 	444.6859 	1.4618 	415.5084 	1.2372
14 	0.9449 	1.3594 	247.1559 	1.4722 	245.7839 	1.0157
15 	1.0917 	1.7951 	381.3793 	1.5941 	340.6473 	1.5126
16 	0.6004 	64.6505 	215.7735 	1.0192 	232.7122 	0.8396
17 	0.8409 	12.2388 	168.9881 	1.337 	190.4788 	0.7447
18 	0.6407 	1.5235 	198.0315 	1.1809 	196.1229 	1.0215
19 	0.9231 	9.9701 	188.4972 	1.4396 	204.3092 	0.8105
20 	1.3434 	1.4046 	198.5409 	1.9597 	210.7917 	0.836
21 	0.9423 	2.0136 	684.5851 	1.4761 	539.5898 	2.4133
22 	0.9019 	1.31 	640.8123 	1.4206 	485.2643 	2.9836
23 	1.2503 	31.34 	379.8552 	1.7256 	334.4545 	1.7667
24 	1.0627 	1.6633 	648.7197 	1.5987 	539.642 	2.006
25 	0.6911 	1.5756 	575.7717 	1.1367 	476.7395 	1.7817
26 	0.6159 	43.2287 	176.2704 	1.0436 	184.2447 	0.9006
27 	0.4501 	5.56 	311.5562 	0.8754 	284.823 	1.2145
28 	1.0942 	2.8888 	477.9331 	1.6066 	491.41 	0.9188
29 	0.5573 	104.742 	209.9241 	0.8734 	211.4032 	0.9809
30 	0.8402 	16.8262 	455.996 	1.335 	381.8202 	1.7822
31 	0.4682 	41.006 	361.5784 	0.7921 	361.4625 	1.0008
32 	1.2824 	28.8095 	463.3461 	1.934 	397.1405 	1.7365
33 	0.9255 	2.8318 	436.8795 	1.4485 	359.3175 	1.9673
34 	1.4833 	0.8495 	259.4168 	2.1387 	242.6836 	1.2666
35 	0.8972 	53.7753 	192.9725 	1.3877 	219.6606 	0.7187
36 	0.9124 	78.2086 	218.8977 	1.4441 	249.6774 	0.7236
37 	0.7154 	1.3205 	553.3347 	1.1885 	465.7418 	1.6602
38 	0.5461 	31.308 	348.7089 	1.0055 	305.5008 	1.3721
39 	0.9589 	6.716 	715.7833 	1.5703 	529.6757 	3.0098
40 	0.7425 	1.745 	415.8384 	1.1408 	343.8472 	1.9835
41 	0.6355 	79.1403 	460.687 	1.0872 	451.9658 	1.0477
42 	1.1392 	16.2793 	446.6976 	1.7006 	386.7544 	1.6849
43 	1.0115 	39.752 	171.9569 	1.5294 	188.6941 	0.7767
44 	1.0086 	11.6996 	202.6189 	1.5294 	218.6816 	0.8112
45 	0.8315 	20.811 	204.2315 	1.2663 	223.7216 	0.7825
46 	0.9059 	80.4139 	671.769 	1.4257 	614.477 	1.3054
47 	0.6396 	4.9637 	584.3503 	1.0737 	433.9871 	2.7513
48 	0.4729 	9.1046 	382.7689 	0.9026 	314.3841 	1.6007
49 	0.8663 	1.4218 	411.2481 	1.3706 	330.9008 	2.1324
50 	1.3062 	1.121 	472.5287 	1.916 	405.3765 	1.8067
51 	1.1339 	1.7949 	267.9115 	1.7112 	275.7142 	0.9205
52 	0.887 	1.1958 	329.7008 	1.4014 	276.7585 	1.7778
53 	1.2576 	3.7969 	711.0223 	1.8804 	588.8529 	2.078
54 	0.6406 	13.3101 	690.374 	1.0986 	519.6634 	2.4578
55 	1.0122 	50.4536 	182.873 	1.546 	195.6327 	0.8319
56 	0.6887 	35.5945 	258.625 	1.1457 	262.7496 	0.9616
57 	0.4872 	1.0374 	430.2096 	0.8178 	348.4983 	1.8861
58 	0.995 	14.7603 	364.7385 	1.5211 	324.1432 	1.4745
59 	1.3239 	2.1174 	471.4345 	1.9255 	428.7642 	1.4079
60 	0.726 	66.915 	236.8377 	1.191 	274.8822 	0.7085
61 	0.548 	9.5846 	294.021 	0.9332 	281.0355 	1.1198
62 	0.7188 	73.2121 	368.5223 	1.2305 	367.4286 	1.0072
63 	0.6403 	3.544 	423.0813 	0.9468 	367.9059 	1.6746
64 	0.4472 	1.6962 	533.6826 	0.7961 	449.3338 	1.5639
65 	1.1149 	1.3893 	495.6967 	1.6559 	487.1739 	1.0555
66 	0.8597 	2.4548 	312.9787 	1.3663 	291.8841 	1.2222
67 	0.64 	6.6553 	228.0882 	1.0867 	223.8429 	1.0474
68 	0.752 	13.925 	332.1126 	1.267 	295.9588 	1.3657
